iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
0,0.6931471805599454,0.4578048452742801,0.33383873720145746,-0.08833981773785357,1.0,0,15.22926920815371,15.22928712517023,1014,1014,0.7072189944586699,100,50,902,0.676612773508068,0.192052066203102,0.0,0,476252562,1921337475
1,0.6157902071450098,0.40401481446850085,0.4516280999462672,-0.15620973301806163,1.0,0,13.519291708944365,28.749020042130724,1015,2029,0.108827406287451,100,50,902,0.6356215969179311,0.23222572934423644,0.0,0,3952790413,3023734987
2,0.48263271295837556,0.30328534125905826,0.38365851355264546,-0.10351526906363355,1.0,0,6.247023792006075,34.99658525013365,1015,3044,0.02576905952276116,100,50,902,0.5507134838180905,0.19716365912877312,0.0,0,2579685521,2709045137
3,0.39312304873697995,0.2303860402258484,0.3494590403282064,-0.0706679584669421,1.0,0,6.84265079209581,41.83963041706011,1011,4055,0.02698167200255811,100,50,898,0.4799854583483216,0.15196043221982225,0.0,0,3515168162,3447009264
4,0.33132877299421054,0.18059467313476374,0.3074691830667281,-0.04953321151727041,1.0,0,6.186790083069354,48.02680400013924,1015,5070,0.03472211671004474,100,50,902,0.42496431983728206,0.11646882495229867,0.0,0,2704398335,3667245707
5,0.2870314559572965,0.145698634067598,0.28736967810391595,-0.03700877268349984,1.0,0,6.313519458053634,54.34042362496257,1016,6086,0.03959514357965014,100,50,903,0.381704904432204,0.09008307793182412,0.0,0,2936032728,4061161924
6,0.25365818797724604,0.12038331237709964,0.2676361526914514,-0.02835144280407963,1.0,0,7.365027708001435,61.70632312516682,1016,7102,0.04468619374847847,100,50,903,0.3469629841598375,0.07116654593002975,0.0,0,2577006580,811102763
7,0.22783082733667606,0.10166640578817769,0.25146329714643956,-0.022462104040433972,1.0,0,7.684022624976933,69.39077770803124,1018,8120,0.048432751195690564,100,50,905,0.3188516987381088,0.05759768903398824,0.0,0,3746631963,923116679
8,0.2072511300229709,0.0871005393341656,0.23326547121334473,-0.017938736834325068,1.0,0,5.695337375160307,75.08658154215664,1015,9135,0.05254642737027981,100,50,902,0.295128004998112,0.04764846671355887,0.0,0,3087471993,1117478805
9,0.1906157453726597,0.07576201021055345,0.22492914406540562,-0.014860854652997925,1.0,0,5.821326541947201,80.90805650013499,1023,10158,0.055274270716996275,100,50,910,0.2752489967475875,0.03992910652670972,0.0,0,825096257,2555061035
10,0.17682193522019057,0.0668565562359789,0.2122364754272426,-0.01237164456698701,1.0,0,7.9521048329770565,88.86095766699873,1024,11182,0.058292673472008096,100,50,911,0.25856634784128213,0.0341821687678829,0.0,0,645693139,1256014988
11,0.16526552552321738,0.0595540704194936,0.20050821151903261,-0.010426617027310722,1.0,0,16.898840917041525,105.76002783305012,1029,12211,0.061349869897385834,100,50,916,0.24403702673875863,0.029596600422286574,0.0,0,1070574247,4241442214
12,0.15547552822170135,0.0535513769182962,0.19514715572216257,-0.009026547595600109,1.0,0,7.521830582991242,113.28215483296663,1030,13241,0.060880974451877005,100,50,917,0.23141170436755398,0.025925318340396113,0.0,0,1281123493,613395804
13,0.1470241693754932,0.04835153893027675,0.1946562441631382,-0.007957356608152256,1.0,0,7.069515666924417,120.35191162512638,1027,14268,0.06375963738711607,100,50,914,0.2198898336219225,0.022899207493506855,0.0,0,203083052,4271051266
14,0.13963373299987597,0.044096685504300966,0.18116183548597933,-0.00679851617948057,1.0,0,12.030728082871065,132.3827215831261,1028,15296,0.06070771557791079,100,50,915,0.20999210819528663,0.020482480591387516,0.0,0,1989475999,1984443017
