iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
0,0.6931471805599454,0.4578048452742801,0.42603324560271055,-0.10583454561582778,1.0,0,5.742288667010143,5.742312540998682,1054,1054,0.7072189944586699,100,50,902,0.676612773508068,0.18557486552100064,0.0,0,476252562,1921337475
1,0.6074555822861859,0.39629893979456543,0.5107471811903486,-0.1630945381148521,1.0,0,6.005728166084737,11.748179957969114,1055,2109,0.1100814153902332,100,50,902,0.6295227873513122,0.21509917779854942,0.0,0,3952790413,3023734987
2,0.473390489948046,0.2954514762284575,0.45064527706539204,-0.10900016021914093,1.0,0,7.1251391670666635,18.873572749784216,1055,3164,0.026361090558173463,100,50,902,0.5435544832199046,0.17946737536223298,0.0,0,2579685521,2709045137
3,0.38308216995721633,0.22404196608712984,0.4033061432778662,-0.07397414304247846,1.0,0,5.719859875040129,24.593700957950205,1052,4216,0.027882682941194184,100,50,899,0.4733307153430145,0.13805081341018324,0.0,0,3515168162,3447009264
4,0.32118543582494113,0.17493392303656985,0.35426915666555436,-0.05092659973974401,1.0,0,5.3707555420696735,29.964611707953736,1054,5270,0.03574789611626532,100,50,901,0.41825102873342684,0.10526317206634088,0.0,0,2704398335,3667245707
5,0.2774928049241958,0.14078170370522325,0.32272945966343775,-0.03730556883078642,1.0,0,5.4111607919912785,35.375925707863644,1058,6328,0.04024394920549767,100,50,905,0.37520888009910325,0.08152377080748634,0.0,0,2936032728,4061161924
6,0.24500578003926393,0.116688380683557,0.29185809598267354,-0.028038455631178013,1.0,0,5.572819333057851,40.94956066599116,1057,7385,0.04480927892061134,100,50,904,0.34159681011911835,0.06473907340972394,0.0,0,2577006580,811102763
7,0.2201844936420232,0.09866911598244839,0.29631354699001194,-0.02324073556310349,1.0,0,6.404961792053655,47.354723415803164,1059,8444,0.04706190807280208,100,50,906,0.3141164051469588,0.051952375671205975,0.0,0,3746631963,923116679
8,0.1999325414631295,0.08477638804883464,0.28205148460021745,-0.01886959913746938,1.0,0,5.668825125088915,53.024470624979585,1056,9500,0.05092515833184234,100,50,903,0.2911638508620784,0.04286313863848295,0.0,0,3087471993,1117478805
9,0.18345844728270172,0.07400268171664039,0.26081341689774207,-0.01512742058581911,1.0,0,5.489564291900024,58.51413295790553,1062,10562,0.05142417901330536,100,50,909,0.27203433922326864,0.036010910872708336,0.0,0,825096257,2555061035
10,0.1700922034881484,0.06558111628835932,0.24073547340354384,-0.01243702742169473,1.0,0,5.60059458296746,64.11511645792052,1068,11630,0.05269443902511885,100,50,915,0.25608810259041576,0.030973967578475963,0.0,0,645693139,1256014988
11,0.1590011938968749,0.05871581624716711,0.2309586929180063,-0.01042394383879494,1.0,0,6.207487500039861,70.32277508289553,1073,12703,0.05391915564205949,100,50,920,0.2423134669125245,0.026868092698576526,0.0,0,1070574247,4241442214
12,0.1496628953977299,0.05328899795215057,0.20696225996375986,-0.008664009644010038,1.0,0,5.832655625184998,76.15632412489504,1074,13777,0.053260167631691106,100,50,921,0.23084409880295959,0.0237654682051773,0.0,0,1281123493,613395804
13,0.14178103441958317,0.04809421713285758,0.20530116355415168,-0.007668420463628585,1.0,0,5.7016903748735785,81.85846816585399,1071,14848,0.055363143028069266,100,50,918,0.2193039377960587,0.021057197101297186,0.0,0,203083052,4271051266
14,0.1348653038230162,0.04373106503595118,0.20978174712808892,-0.006941340751516668,1.0,0,5.543250958202407,87.40180320781656,1070,15918,0.05323648176724227,100,50,917,0.20911973851349178,0.01874254835385595,0.0,0,1989475999,1984443017
15,0.12869557001597992,0.039932819202996156,0.19989219510409698,-0.006038995431650967,1.0,0,5.6447087079286575,93.04688479099423,1076,16994,0.051707874385414396,100,50,923,0.19983197742852907,0.016937199680450675,0.0,0,3105982468,2939459983
16,0.12330583108623994,0.03696239215894902,0.18560778044393397,-0.005205030989612561,1.0,0,5.587836708175018,98.63481049984694,1076,18070,0.04960843669469625,100,50,923,0.19225605883547342,0.015443493880668914,0.0,0,4222185095,2690616457
17,0.11861927562594846,0.034112323746124495,0.1757957393544667,-0.004503027828431453,1.0,0,7.0346874999813735,105.66989695793018,1089,19159,0.051537473719840875,100,50,936,0.1846952185253438,0.014171334143158224,0.0,0,3968104027,54444991
18,0.11451369259016263,0.031610631672695,0.1669471831892631,-0.004036295963574648,1.0,0,6.002617584075779,111.67363533284515,1093,20252,0.04783253259517916,100,50,940,0.17779378974726592,0.013093364184328804,0.0,0,911355454,3763736515
19,0.1108385122224484,0.029260165100838172,0.15964000458374214,-0.003567544660385954,1.0,0,5.6846019581425935,117.358350624796,1104,21356,0.04555779696344144,100,50,951,0.17105602912741244,0.012152434218148689,0.0,0,1107899402,3941414767
20,0.1075662506280337,0.027419549600534335,0.16672792714599546,-0.0033982249821565736,1.0,0,5.99272208311595,123.35145554086193,1102,22458,0.043725212221570005,100,50,949,0.1655884947710267,0.0112540915041346,0.0,0,3524449872,1769375212
21,0.10452758443169992,0.02539555024515528,0.17809739899886284,-0.0032894047438074485,1.0,0,5.9786914580035955,129.33039099979214,1106,23564,0.04097969498687849,100,50,953,0.1593598137710862,0.010439688784596385,0.0,0,1692039298,251969119
22,0.10166506603939732,0.023989390037689694,0.1478612573365231,-0.002642013468215095,1.0,0,6.090815791161731,135.42204979085363,1115,24679,0.03164282828219351,100,50,962,0.15488508655674274,0.009879838721778866,0.0,0,146248062,632673050
