iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
0,0.0,14.032653229545277,1.6773850251274016,-17.142091368128035,1.0,0,4.323242875048891,4.323247916996479,9153,9153,3.759601981725405e-08,200,100,8901,3.7460183167658534,2.010826035126122,0.0,0,476252562,1921337475
1,-13.34441010452215,8.876350419272447,1.2071977978562816,-7.533480657032887,1.0,0,4.071926458040252,8.395251333946362,9129,18282,1.1990749382386907e-10,200,100,8876,2.9793204626680305,1.93846079402425,0.0,0,3952790413,3023734987
2,-19.06848745509833,5.194013355060339,0.8189926640934597,-2.905264425416096,1.0,0,4.399128291057423,12.794506416888908,9125,27407,1.704245104533708e-10,200,100,8872,2.2790378134336295,1.8906359415302236,0.0,0,2579685521,2709045137
3,-21.203688887847818,2.661001914570642,0.4971523212685245,-0.9283779498571865,1.0,0,4.033207040978596,16.82811254193075,9141,36548,1.2717116267868796e-10,200,100,8888,1.6312577707311136,1.8581277600973687,0.0,0,3515168162,3447009264
4,-21.851889758473767,1.2655124107757774,0.25202355022131107,-0.20677570420445465,1.0,0,4.068502084119245,20.89668529201299,9173,45721,3.4263455758740215e-10,200,100,8920,1.1249499592318661,1.9008782057252929,0.0,0,2704398335,3667245707
5,-21.989655435490768,0.4160715230674718,0.10701645529269524,-0.03072470765066708,1.0,0,4.003960040863603,24.900996834039688,9103,54824,5.307530616858219e-11,200,100,8850,0.6450360633851969,1.8592857940166594,0.0,0,2936032728,4061161924
6,-22.008597180202663,0.1121279288687967,0.029705089420220744,-0.002114529042339509,1.0,0,3.8944600839167833,28.79551758407615,9125,63949,6.414540982850613e-11,200,100,8872,0.33485508637139844,1.8578769031677749,0.0,0,2577006580,811102763
7,-22.00980017995745,0.016312564001344034,0.004792399408494064,-4.901553339783442e-05,1.0,0,3.9305983749218285,32.726984875043854,9145,73094,5.324660927261303e-11,200,100,8892,0.12772064829675753,1.792288851740701,0.0,0,3746631963,923116679
8,-22.009826145459783,0.0009424756557491123,0.0003211284753708946,-2.029824668725706e-07,1.0,0,4.013488041935489,36.7405427088961,9124,82218,2.2781877442934453e-10,200,100,8871,0.0306997663793898,1.7556422599962809,0.0,0,3087471993,1117478805
9,-22.009826248531127,1.602817438353524e-05,5.319032036896976e-06,-5.475229099370006e-11,1.0,0,3.987070499919355,40.728408084018156,9144,91362,7.645412600576083e-11,200,100,8891,0.004003520248922845,1.8091299171355526,0.0,0,825096257,2555061035
10,-22.009826248558568,3.301708868894686e-08,,,,,1.795799471437931e-05,40.72849558410235,0,91362,,,,,,,,0,,
