k,f,grad_norm,alpha,armijo_iters,gTd,step_norm,eta,lambda_min,inner_method,inner_T,inner_r,inner_solve_iters,hvp_calls_iter,time_iter_sec,seed
0,0.0,14.272250910009785,1.0,0,-0.6346097860654127,0.12288839541819986,3.777863273069816,12.17477149124172,rk,15,20,15,336,0.0031327081378549337,1
1,-0.3272411941333182,13.380510179152479,1.0,0,-0.4479211168415682,0.10542716443622614,9.634869190501236,-2.9884656111538077,rk,15,20,15,337,0.0029951659962534904,1
2,-0.5768775790524454,12.805363159184873,1.0,0,-0.4443484970042403,0.11232202026192208,15.021220412730752,-5.721381101472373,rk,15,20,15,337,0.0035775830037891865,1
3,-0.8416617670544175,12.194835268946099,1.0,0,-0.626472847055546,0.17851538279761575,16.615827866025562,-6.561858717036916,rk,15,20,15,337,0.0031435000710189342,1
4,-1.297535863485881,11.71626402503145,1.0,0,-0.9578918814819464,0.26751450711909386,17.38101759536154,-6.979057365048847,rk,15,20,15,337,0.002860334003344178,1
5,-2.2191669958252596,12.251599934269592,1.0,0,-2.2586167593713693,0.44796734672868366,18.365886001863217,-7.4328287236435795,rk,15,20,15,337,0.0032302499748766422,1
6,-4.946432962192958,14.286646263796229,1.0,0,-5.703883703110249,0.7214512147024561,18.537473878400938,-7.3788529306038955,rk,15,20,15,337,0.0037468750961124897,1
7,-12.386347776191483,19.501299471359193,1.0,0,-17.071705742199807,1.2096132869499232,19.97796935411587,-7.780970893622742,rk,15,20,15,337,0.0029626251198351383,1
8,-34.386935349511646,30.707343185415297,1.0,0,-50.52055360475306,2.0682378087819044,22.175823631177128,-8.317201474114048,rk,15,20,15,337,0.0028463751077651978,1
9,-97.09988589966035,53.11327300989747,1.0,0,-125.52452102040691,2.969979644014101,23.30811738156103,-8.010116011144298,rk,15,20,15,337,0.0028151250444352627,1
10,-251.90840041018998,82.64423981175914,1.0,0,-288.0220566017087,4.315951652682634,25.333014780216317,-8.12106352257005,rk,15,20,15,337,0.0032100409734994173,1
11,-599.0835490045931,128.4072290307401,1.0,0,-641.8992212287746,6.127605477561685,27.699223092589087,-8.18376586734378,rk,15,20,15,337,0.0036828750744462013,1
12,-1343.8192399240866,192.7545508066161,1.0,0,-1237.0848119664822,7.781515447387309,30.020965715834286,-8.06867922329494,rk,15,20,15,337,0.0030443749856203794,1
13,-2756.8896163213317,272.30538815598607,1.0,0,-2219.612381548387,10.062873480942697,32.50342099835345,-8.000871327371437,rk,15,20,15,337,0.0028831670060753822,1
14,-5277.607248186758,376.9691757217061,1.0,0,-3982.5827681097085,12.737409213704767,35.735476796377135,-8.159891369602542,rk,15,20,15,337,0.0029167921748012304,1
15,-9719.798127677539,506.0082054277309,1.0,0,-6730.0501830919275,15.845061163732558,38.74741570399519,-8.12639477922627,rk,15,20,15,337,0.0032802079804241657,1
16,-17049.834673959253,673.0999090377727,1.0,0,-11191.979167359234,19.740417483465336,42.26369649756008,-8.159763710840767,rk,15,20,15,337,0.003916833084076643,1
17,-28822.906244041584,874.1056883262576,1.0,0,-15777.30483992682,22.311730633767745,45.61386196114243,-8.024291768253127,rk,15,20,15,337,0.002870167139917612,1
18,-45526.163167854764,1123.817794631408,1.0,0,-23689.1316629986,25.788765374194437,49.76276393430297,-8.119686090604503,rk,15,20,15,337,0.00290562491863966,1
19,-70270.24325862795,1389.7041662631716,1.0,0,-32049.91758741996,28.809195101545985,53.12827885319439,-7.924771369557467,rk,15,20,15,337,0.0028356669936329126,1
20,-103784.63896032673,1674.8942052361954,1.0,0,-43063.34973968701,31.688349902405655,56.93263736869671,-8.00358300924741,rk,15,20,15,337,0.0029630421195179224,1
21,-148737.95236002258,2014.5896123942512,1.0,0,-60176.31406561997,37.11001178143564,60.843665408020314,-7.979742714471241,rk,15,20,15,337,0.0032824170775711536,1
22,-210058.92217749121,2366.6390845867268,1.0,0,-81269.88072827335,41.74146022199907,64.79562336039493,-8.073754223706338,rk,15,20,15,337,0.0028733329381793737,1
23,-291787.15266673575,2704.2003343962333,1.0,0,-107090.34905861621,47.87585137295441,68.5522169205629,-8.275145331984486,rk,15,20,15,337,0.002904833061620593,1
24,-399607.9343824712,3230.755076944677,1.0,0,-135124.37584077282,51.73429001418055,73.2219071967032,-8.191087848560146,rk,15,20,15,337,0.0028928748797625303,1
25,-535555.0298375385,3726.1228930031416,1.0,0,-169683.46193346745,56.51260942851445,76.86880105235892,-7.9134122844664265,rk,15,20,15,337,0.0028232079930603504,1
26,-706536.3873668903,4301.832711611371,1.0,0,-197469.88840343113,56.14880367438792,81.4395816354832,-7.925611793060363,rk,15,20,15,337,0.0033795421477407217,1
27,-906296.4332937093,4781.531950416343,1.0,0,-254700.14313254226,66.14098466623463,85.38111031750603,-8.11624406505101,rk,15,20,15,337,0.0028591251466423273,1
28,-1158117.419629398,5462.233365024947,1.0,0,-310655.20592479024,71.4961064226726,90.17630701057445,-8.134691674814068,rk,15,20,15,337,0.00292233400978148,1
29,-1464033.2706213992,6143.62898363834,1.0,0,-380366.7845068591,78.17589210934864,94.49221491733688,-8.05545492634149,rk,15,20,15,337,0.002879458013921976,1
30,-1840140.1334977974,6904.316186436455,1.0,0,-535892.3898415853,101.2487354764864,99.84339105901331,-8.375588051078381,rk,15,20,15,337,0.0029076668433845043,1
31,-2343165.9269133653,7875.639795263299,1.0,0,-611858.2963927238,102.4465395891469,105.63407134614671,-8.444634917470502,rk,15,20,15,337,0.002877333899959922,1
32,-2928379.2166717956,8861.607116098054,1.0,0,-785183.3213705204,115.91946981870825,111.1343867956625,-8.499138636406126,rk,15,20,15,337,0.0032196249812841415,1
33,-3662637.1923760967,10068.637881001909,1.0,0,-907392.8049007445,120.89110478013201,116.78630932521384,-8.221853401323326,rk,15,20,15,337,0.0028382090386003256,1
34,-4506004.029087559,11229.390821857312,1.0,0,-1036368.1499328892,124.0022953097579,122.76319206916473,-8.397186011781052,rk,15,20,15,337,0.0030217499006539583,1
35,-5477811.6456462,12406.018482515534,1.0,0,-1273629.3558033186,142.2388140836933,128.0367849205156,-8.327238578973539,rk,15,20,15,337,0.002862249966710806,1
36,-6652381.541671386,13960.192418417717,1.0,0,-1336302.3925824135,138.11137043152422,134.3833537676502,-8.115047794104438,rk,15,20,15,337,0.0029576250817626715,1
37,-7902178.0591077,15160.12124336172,1.0,0,-1673438.852606914,157.6651061039268,139.57609819770258,-8.224827035346284,rk,15,20,15,337,0.00290545797906816,1
38,-9447443.137524633,16527.737400020716,1.0,0,-1748690.3617240188,149.9963720331608,144.53811892699457,-7.988935396993025,rk,15,20,15,337,0.0031119580380618572,1
39,-11093506.774879146,17783.902187017775,1.0,0,-2062949.5256330534,159.4425761909438,149.5260838569672,-8.08489298331235,rk,15,20,15,337,0.0028257498051971197,1
40,-12997093.1702724,18989.89411540697,1.0,0,-2182836.147785831,165.4281700918997,154.08077193623512,-8.13847359370126,rk,15,20,15,337,0.00296795810572803,1
41,-15062865.446913712,20638.61575509366,1.0,0,-2456425.8248753534,169.4321206879818,159.77988329605668,-8.059210489467707,rk,15,20,15,337,0.0028767080511897802,1
42,-17364959.45532636,21868.6815357293,1.0,0,-2971648.7076250995,196.43163820139128,164.24847456097604,-8.1839209170025,rk,15,20,15,337,0.0028941668570041656,1
43,-20104107.58990048,23552.34870208353,1.0,0,-3626131.854282546,221.9459547456932,170.01467670728968,-8.273465940473342,rk,15,20,15,337,0.0031003328040242195,1
44,-23358202.542361595,25720.317229787805,1.0,0,-3483089.605235343,187.40595901130425,177.07577953148473,-8.35011446646778,rk,15,20,15,337,0.0028994169551879168,1
45,-26642233.964441482,27116.739271051607,1.0,0,-4018629.0670159124,211.20261297361682,180.8437041888429,-8.086046895450432,rk,15,20,15,337,0.002860334003344178,1
46,-30291456.39200712,28679.133616532672,1.0,0,-4194456.532949362,212.69935557516936,186.09783196253647,-8.374342441549896,rk,15,20,15,337,0.002852833131328225,1
47,-34231641.82149413,30553.810719450314,1.0,0,-5291774.602720781,254.179213944344,191.4933652547498,-8.348440769414276,rk,15,20,15,337,0.00291616702452302,1
48,-39055986.24089527,32930.450834152296,1.0,0,-5268094.549785137,238.3465509142506,198.43602283088444,-8.48426516555968,rk,15,20,15,337,0.002959999954327941,1
49,-43980487.67489672,34723.90544184693,1.0,0,-5616505.355684543,219.95564642426058,202.95110116697094,-8.30379327226087,rk,15,20,15,337,0.0034029579255729914,1
50,-49196243.578034095,35955.260365874274,1.0,0,-7870113.246728111,326.25863950242484,206.68209944485218,-8.531687887908033,rk,15,20,15,337,0.002893707947805524,1
51,-56256930.16116032,39026.31183276168,1.0,0,-7438393.1595142,271.5263413285605,214.45067280994354,-8.44994494439379,rk,15,20,15,337,0.002980541903525591,1
52,-63057161.5940046,41228.2412345419,1.0,0,-9990742.599136628,362.8884215506618,220.14431655421464,-8.54846494084479,rk,15,20,15,337,0.002874832833185792,1
53,-71798470.91405629,44311.70676245093,1.0,0,-8914995.23482824,315.8660381903865,227.36989127644188,-8.433215530765072,rk,15,20,15,337,0.0028418751899152994,1
54,-80062991.48068233,47131.57459900975,1.0,0,-8930728.143126165,279.59977651695044,233.01225372049342,-7.957088864728593,rk,15,20,15,337,0.003332416992634535,1
55,-88383439.14643146,48958.63419628584,1.0,0,-11886510.315581251,382.9303341589238,237.96391755355498,-8.348968448071918,rk,15,20,15,337,0.002868165960535407,1
56,-99064295.15961142,53170.49657287595,1.0,0,-10684980.947866566,302.4578483506003,246.22081267159717,-7.816763218673567,rk,15,20,15,337,0.002882000058889389,1
57,-109035400.38120584,55661.24090444603,1.0,0,-14176842.959424619,390.1670435795269,252.0345249394921,-8.05408929221786,rk,15,20,15,337,0.0028525828383862972,1
58,-121670087.260462,58398.37247154623,1.0,0,-12556559.116101118,306.7585677638403,258.07054037298957,-8.206494152445023,rk,15,20,15,337,0.0030355839990079403,1
59,-133396121.50646749,59848.19564148626,1.0,0,-15178019.67728311,397.90431475807617,261.309610983848,-8.335351150549656,rk,15,20,15,337,0.002853458048775792,1
60,-147135836.51521385,63054.291735739534,1.0,0,-16372685.695884164,403.54414234617406,267.6588758829844,-8.276369743479254,rk,15,20,15,337,0.003266541985794902,1
61,-161909464.45738113,66823.19133620212,1.0,0,-19992591.678891707,474.6574099550705,275.3695354009007,-8.433857320482309,rk,15,20,15,337,0.0028678749222308397,1
62,-179690321.37390676,70167.5618316483,1.0,0,-19478330.991630547,440.49046712877634,281.38656232950376,-8.247479200657617,rk,15,20,15,337,0.0029351250268518925,1
63,-197290045.37667838,74193.02805145514,1.0,0,-18246863.832268357,387.6750755264902,288.933789678905,-8.274908978081841,rk,15,20,15,337,0.002855750033631921,1
64,-214307206.91590473,77246.75542829615,1.0,0,-21001930.554616593,434.53222279976745,293.89053633931326,-7.97876552576753,rk,15,20,15,337,0.0029126249719411135,1
65,-233361059.2353794,79914.67039683583,1.0,0,-26866581.255470466,528.9443250431119,299.55009003645705,-8.429130329444703,rk,15,20,15,337,0.0029051669407635927,1
66,-256656256.2932806,84016.52250277359,1.0,0,-25786188.1192825,516.7626875265819,306.43823716849147,-8.291099810464814,rk,15,20,15,337,0.0031022080220282078,1
67,-279966159.765551,88349.2053595755,1.0,0,-25739592.730031792,448.82463256954674,313.19733825612224,-7.980698007829915,rk,15,20,15,337,0.002839209046214819,1
68,-303519200.67127615,90429.45862646426,1.0,0,-32436454.78211052,565.5551634386752,317.67584605938396,-8.480466757593316,rk,15,20,15,337,0.0029475418850779533,1
69,-332160479.26041,93031.7339372896,1.0,0,-28564268.7861681,458.94067940791314,321.4234543952032,-8.206207676758035,rk,15,20,15,337,0.0029140422120690346,1
70,-358623035.66206443,95900.13030290825,1.0,0,-30410959.93670822,462.68634303987955,326.5703172820246,-8.446427776518751,rk,15,20,15,337,0.0029328330419957638,1
71,-387164306.3706158,98770.52743065318,1.0,0,-35720130.797101006,561.6403576116147,330.46336873148283,-8.092790842644177,rk,15,20,15,337,0.003147917101159692,1
72,-419593156.23660433,103543.3139088405,1.0,0,-37207405.352398306,546.8401435078906,338.55889120417584,-8.38871101115466,rk,15,20,15,337,0.00296879094094038,1
73,-453910688.40182465,107906.32412695145,1.0,0,-45361623.94444399,681.5295649020532,345.24969146434796,-8.379355590928807,rk,15,20,15,337,0.002869540825486183,1
74,-494202630.4797012,114033.92234335718,1.0,0,-40398455.22885134,563.9604587438891,354.61528663175443,-8.463097695240423,rk,15,20,15,337,0.002931541996076703,1
