k,f,grad_norm,alpha,eta
0,0.0,14.272250910009785,1.0,3.777863273069816
10,-251.90840041018998,82.64423981175914,1.0,25.333014780216317
20,-103784.63896032673,1674.8942052361954,1.0,56.93263736869671
30,-1840140.1334977974,6904.316186436455,1.0,99.84339105901331
40,-12997093.1702724,18989.89411540697,1.0,154.08077193623512
50,-49196243.578034095,35955.260365874274,1.0,206.68209944485218
60,-147135836.51521385,63054.291735739534,1.0,267.6588758829844
70,-358623035.66206443,95900.13030290825,1.0,326.5703172820246
80,-767153807.7980393,140585.5884798068,1.0,391.18636283681764
90,-1468949494.0170696,198346.9264291746,1.0,462.04546021418724
