k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.49921221655503095,1.0,0.3294806316757241,0.316869,0.316869
1,0.33050567200188435,0.20522094572903363,1.0,0.3765235459961854,0.29542599999999997,0.612295
2,0.17982812974869739,0.09699377264919078,1.0,0.5153508663311601,0.30444800000000005,0.9167430000000001
3,0.10197183404572713,0.05359878423268263,1.0,0.5794704829199607,0.32422299999999993,1.240966
4,0.058961426368616274,0.032039290515030634,1.0,0.586393761818985,0.30308500000000005,1.544051
5,0.034537187918525204,0.019144547190925773,1.0,0.6193379505734183,0.3352050000000002,1.8792560000000003
6,0.020840667022902964,0.012023918076805107,1.0,0.607025075156995,0.3120799999999999,2.191336
7,0.013161983657812869,0.0076049090040947375,1.0,0.622567485414441,0.308983,2.500319
8,0.00835009326791697,0.00496773609654246,1.0,0.5758338549444698,0.310851,2.81117
9,0.005156771069382838,0.002999915859728972,1.0,0.6092886621994659,0.3077429999999999,3.118913
10,0.003314937751982369,0.001958950413389098,1.0,0.598636011435243,0.3000790000000002,3.4189920000000003
11,0.002103598106959559,0.0012435423770343723,1.0,0.6041116746331685,0.30119199999999946,3.7201839999999997
12,0.001354602576993638,0.0008025211618119361,1.0,0.6097225354951549,0.29827700000000057,4.018461
13,0.0008784527755738853,0.000529933341449197,1.0,0.5903776275043648,0.2982389999999997,4.3167
14,0.0005524478232244622,0.00032648795350381435,1.0,0.5988209396807577,0.3012839999999999,4.617984
15,0.0003529735481966628,0.0002060135697873942,1.0,0.634617818225443,0.30151400000000006,4.919498
16,0.0002297273224913027,0.00014057420871879003,1.0,0.5684494948624089,0.30447000000000024,5.223968
17,0.0001483090114546108,8.516378908921233e-05,1.0,0.6448524415620402,0.31520100000000006,5.539169
18,9.683943058577721e-05,5.874137160543094e-05,1.0,0.5979117136698043,0.3264969999999998,5.865666
19,6.301563423589313e-05,3.77352857650519e-05,1.0,0.5946295684235251,0.3002950000000002,6.165961
20,4.069647655356931e-05,2.4354422914492635e-05,1.0,0.6133082068293384,0.30165500000000023,6.4676160000000005
21,2.6314302050451348e-05,1.576709344124626e-05,1.0,0.5990052872482384,0.30109799999999964,6.768714
22,1.645219497616756e-05,1.0192162763893697e-05,1.0,0.5660995125488023,0.30616999999999983,7.074884
23,1.0383333563199794e-05,6.218037223573696e-06,1.0,0.5991693273501274,0.3053480000000004,7.380232
24,6.626146204782221e-06,3.960709683652688e-06,1.0,0.6093070541210267,0.297644,7.677876
25,4.3407015668574e-06,2.7117710446982952e-06,1.0,0.5670000019091455,0.30094900000000013,7.9788250000000005
26,2.854591063741819e-06,1.6770915765696967e-06,1.0,0.6291441615643674,0.29981300000000033,8.278638
27,1.8628511004267511e-06,1.2148339044480234e-06,1.0,0.5699588920618976,0.31207099999999954,8.590709
28,1.3147649593970771e-06,8.036787999360139e-07,1.0,0.6144082411513576,0.30927600000000055,8.899985000000001
29,9.330041576193486e-07,5.65412301923396e-07,1.0,0.6736967531313692,0.30825999999999887,9.208245
30,7.224412675853075e-07,4.4064972838951883e-07,1.0,0.6491862875604547,0.41223399999999977,9.620479
31,5.583092878182159e-07,3.22993442018404e-07,1.0,0.6944121767251353,0.33634300000000117,9.956822
32,4.4826113414851574e-07,2.616156821295866e-07,1.0,0.6936689908968826,0.3060299999999998,10.262852
33,3.5251506887036996e-07,2.0149240372543117e-07,1.0,0.7166430874024324,0.3039229999999993,10.566775
34,2.8579780937419223e-07,1.6886556943137953e-07,1.0,0.6586186313617177,0.3036279999999998,10.870403
35,2.2930696592494363e-07,1.2407227574890526e-07,1.0,0.7520431555939096,0.3448089999999997,11.215212
36,1.8491016022065283e-07,1.0643947871573975e-07,1.0,0.7021983805025356,0.3135110000000001,11.528723
37,1.5257182663315258e-07,8.646458737444261e-08,1.0,0.7267367845061361,0.3198340000000002,11.848557
38,1.2194742120821586e-07,7.257744315659955e-08,1.0,0.6861889984570322,0.29883099999999985,12.147388
39,9.907973257455366e-08,5.6387166888222876e-08,1.0,0.706218968941478,0.32798300000000147,12.475371
40,8.116562726057113e-08,4.653913253440145e-08,1.0,0.7176680183015459,0.2963319999999996,12.771703
41,6.448685809844819e-08,3.673425177658941e-08,1.0,0.716324693259116,0.29951499999999953,13.071218
42,5.236738966716851e-08,2.9807355284733256e-08,1.0,0.7011090507318403,0.30556499999999964,13.376783
43,4.229581700177494e-08,2.390876787269989e-08,1.0,0.7259935216101389,0.30472699999999975,13.68151
44,3.444547757056731e-08,2.0603216098072157e-08,1.0,0.6500357230884954,0.3077860000000001,13.989296
45,2.8419756777384933e-08,1.5038729439406126e-08,1.0,0.7538290629354683,0.3048099999999998,14.294106
46,2.2789415973055356e-08,1.3555306421878151e-08,1.0,0.697943303995827,0.2939520000000009,14.588058
47,1.9225958997571328e-08,1.0539123855326892e-08,1.0,0.7233147458778451,0.29990699999999926,14.887965
48,1.519017757154831e-08,9.061031400717074e-09,0.0,0.0,0.09807300000000119,14.986038
