k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.4521363091289898,1.0,0.08884889302551174,0.21874300000000002,0.21874300000000002
1,0.2886377002773546,0.13873664195672306,1.0,0.11041762331098465,0.260999,0.479742
2,0.16613460629395643,0.058677673981854264,1.0,0.28123447610038776,0.2447260000000001,0.7244680000000001
3,0.09562990351758695,0.02713759913775267,1.0,0.5356469251333074,0.2220019999999998,0.9464699999999999
4,0.0533098442653113,0.0156305065358314,1.0,0.5857533281373555,0.23924900000000004,1.185719
5,0.0291216448983483,0.010042398556675172,1.0,0.540828378719905,0.22539200000000004,1.411111
6,0.017202797152174622,0.0067386203140953815,1.0,0.49482568611849986,0.2255910000000001,1.636702
7,0.010534971929177713,0.004184893606459279,1.0,0.48808853551067044,0.2226039999999998,1.859306
8,0.006717126620836333,0.0028194306109568575,1.0,0.5053340899379013,0.2561279999999999,2.1154339999999996
9,0.00486249086561438,0.0019690875785686747,1.0,0.5231450961766174,0.2604540000000002,2.3758879999999998
10,0.0036949411569617246,0.0014923649672314932,1.0,0.5175464052136918,0.26838300000000004,2.644271
11,0.002933896014236356,0.0011605145526865025,1.0,0.5720986210207277,0.22414099999999992,2.8684119999999997
12,0.0023281694116700138,0.0009559448602461684,1.0,0.5561924267924693,0.27539500000000006,3.143807
13,0.0019379220657329854,0.0006834381066777954,1.0,0.6097329628550889,0.24010199999999982,3.3839089999999996
14,0.0015130036864724242,0.0006078221013741613,1.0,0.5820432296841304,0.2294940000000003,3.613403
15,0.0013133652144491747,0.00042577357699309,1.0,0.6675317273834626,0.27825200000000017,3.891655
16,0.0009871267615803384,0.0004481144708749832,1.0,0.502050891333647,0.24256299999999964,4.134218
17,0.0009265215766063704,0.00024408027872051182,1.0,0.8476733334613488,0.22642499999999988,4.360643
18,0.0006391226282702025,0.0003552197780458852,1.0,0.47459775321812675,0.22198600000000024,4.582629
19,0.0006338909131723378,0.00031597371941621865,1.0,0.4517583546927029,0.22264499999999998,4.805274
20,0.0005787065417711091,0.00016187299915723302,1.0,0.7939768005182714,0.23088900000000034,5.036163
21,0.0004117616648108739,0.00019901816155652646,1.0,0.5137960097073517,0.21681599999999968,5.252979
22,0.0004014477484304674,0.00012642113030714088,1.0,0.6920765317342701,0.2177749999999996,5.4707539999999995
23,0.0002995041624612229,0.00013346444338099026,1.0,0.5477708039408818,0.21357500000000051,5.684329
24,0.00027953317161970884,7.815754762203164e-05,1.0,0.7911763642715031,0.21917299999999962,5.903502
25,0.00019651332181398095,0.00010236322472183682,1.0,0.47259586565927914,0.22037800000000018,6.12388
26,0.00019168621379030392,6.182774250351278e-05,1.0,0.7033906912401241,0.21420900000000032,6.338089
27,0.00014839965403768668,6.789453149073534e-05,1.0,0.49411061426959346,0.21677699999999955,6.554866
28,0.00013493219993968513,3.915329264565771e-05,1.0,0.7253570304508209,0.2152289999999999,6.7700949999999995
29,9.517909833239583e-05,4.730261161327279e-05,1.0,0.48651778786770233,0.21197599999999994,6.9820709999999995
30,9.05266033764326e-05,2.5259168813999522e-05,1.0,0.8096138025014158,0.2109140000000007,7.192985
31,6.510662069310462e-05,3.259648308298184e-05,1.0,0.44438949622439383,0.22078599999999948,7.413771
32,5.872369555884216e-05,1.7283518645831747e-05,1.0,0.7363506274391227,0.21304999999999996,7.626821
33,4.13545397462801e-05,2.0310187709441757e-05,1.0,0.4473348123079408,0.2227990000000002,7.84962
34,3.6436595293703764e-05,1.1720132636293134e-05,1.0,0.6409005872661334,0.21377299999999977,8.063393
35,2.5550876880521954e-05,1.2099147021211603e-05,1.0,0.4586772408041991,0.2179310000000001,8.281324
36,2.0845596030440634e-05,7.599277316744602e-06,1.0,0.5780536148889778,0.21405099999999955,8.495375
37,1.4411683000850697e-05,6.339136497775879e-06,1.0,0.4641908277642078,0.2172470000000004,8.712622
38,1.0706324204050535e-05,4.47450493346816e-06,1.0,0.4819697873085237,0.22060600000000008,8.933228
39,7.348141750903943e-06,3.3354406893618812e-06,1.0,0.42960251033847024,0.21308800000000083,9.146316
40,4.8800546267631195e-06,2.0844128436909476e-06,1.0,0.4632125800521339,0.2247559999999993,9.371072
41,3.0984132876418916e-06,1.32491728632936e-06,1.0,0.9925009044408128,0.20367800000000003,9.57475
42,2.9692319573044944e-06,8.509941520198406e-07,1.0,0.9883801595785138,0.19111499999999992,9.765865
43,2.892703544874995e-06,9.61294501776823e-07,1.0,0.9896947858766466,0.21025900000000064,9.976124
44,2.8340529499953624e-06,7.147370186579815e-07,1.0,0.9861970128031659,0.16447699999999976,10.140601
45,2.772258775010126e-06,9.713052307171161e-07,1.0,0.9897983699333428,0.21622499999999967,10.356826
46,2.7209359516095064e-06,6.290701853932624e-07,1.0,0.9843484820825757,0.14792899999999953,10.504755
47,2.660373946460887e-06,1.0093389564703823e-06,1.0,0.563992223190737,0.21325400000000094,10.718009
48,1.843547711717582e-06,1.0598605949362393e-06,1.0,0.9906458140327716,0.10349499999999878,10.821504
49,1.7449193269734133e-06,5.726873261679223e-07,1.0,0.9828351831848752,0.12462400000000073,10.946128
50,1.6808401742163446e-06,5.889030926898876e-07,1.0,0.9832970710812173,0.1380909999999993,11.084219
51,1.6450184875883046e-06,4.231892502847009e-07,1.0,0.9769125601834953,0.11325300000000027,11.197472
52,1.6077937848689726e-06,5.580808535735404e-07,1.0,0.9823910160501017,0.13409400000000105,11.331566
53,1.5772501297999546e-06,3.9262374491772934e-07,1.0,0.9751598606990514,0.10868399999999845,11.440249999999999
54,1.5484491286239854e-06,4.81930492739658e-07,1.0,0.979666933951641,0.12451300000000032,11.564763
55,1.5223099573095135e-06,3.9710632591340983e-07,1.0,0.9754327452348796,0.10366000000000142,11.668423
56,1.4967388446393514e-06,4.299352744466162e-07,1.0,0.9772651226984397,0.12781599999999926,11.796239
57,1.4727288614669837e-06,4.016007136346184e-07,1.0,0.9757004609107535,0.11873699999999943,11.914976
58,1.4484673365763785e-06,4.031933330811631e-07,1.0,0.9757943909203973,0.1102369999999997,12.025212999999999
59,1.4249726960970486e-06,3.9423463264395375e-07,1.0,0.9752577056778586,0.10946999999999996,12.134682999999999
60,1.4017085497755589e-06,3.7476110512987857e-07,1.0,0.9740064658163716,0.11286000000000129,12.247543
61,1.377685318511802e-06,4.1317394983837766e-07,1.0,0.9763643567771145,0.11476099999999967,12.362304
62,1.356574069025927e-06,3.370442037371134e-07,1.0,0.9711823261166487,0.10485100000000003,12.467155
63,1.335331827901676e-06,4.0587322145435573e-07,1.0,0.9759492685786798,0.11381300000000039,12.580968
64,1.3163914271650708e-06,3.085403993295861e-07,1.0,0.9686044132785516,0.09901299999999935,12.679981
65,1.2939192332371322e-06,4.435366595668217e-07,1.0,0.9779452425072299,0.12156500000000037,12.801546
66,1.2738619983300822e-06,2.835222478033093e-07,1.0,0.9659293602471831,0.09018700000000024,12.891733
67,1.246351142678416e-06,4.788859637248016e-07,1.0,0.9795391420558031,0.1249899999999986,13.016722999999999
68,1.2251068060946477e-06,2.609210541597031e-07,1.0,0.9630876599007918,0.0871720000000007,13.103895
69,1.1929773542072157e-06,5.056662665050765e-07,1.0,0.9806016801873738,0.1321399999999997,13.236035
70,1.1678589608821766e-06,2.576716448544248e-07,1.0,0.9626395062546865,0.08941200000000116,13.325447
71,1.1371992883311764e-06,4.357973563755136e-07,1.0,0.9775633413061229,0.11627099999999935,13.441718
72,1.1147790028431704e-06,2.5833589028545396e-07,1.0,0.96273160907436,0.08833399999999969,13.530052
73,1.0926732373738885e-06,3.9011234090365854e-07,1.0,0.975002102813807,0.10433700000000101,13.634389
74,1.0750202485099238e-06,2.274880931239896e-07,1.0,0.957891508451222,0.08705299999999916,13.721442
75,1.047886525318193e-06,4.955022241584985e-07,1.0,0.9802101833090249,0.12077999999999989,13.842222
76,1.026842545644472e-06,2.3466639117379867e-07,1.0,0.9591269662082325,0.08290500000000023,13.925127
77,9.986217561769297e-07,3.3731108465658776e-07,1.0,0.9712045040863817,0.10075499999999948,14.025882
78,9.766397768154003e-07,2.2672744238888167e-07,1.0,0.9577558359737662,0.08592300000000108,14.111805
79,9.577202183256473e-07,3.1155462258517117e-07,1.0,0.9688978255085271,0.09833099999999995,14.210136
80,9.414145726234318e-07,2.123139925381079e-07,1.0,0.9550171474387871,0.07627399999999973,14.28641
81,9.235357952496654e-07,3.20949047490819e-07,1.0,0.969779947488794,0.0985409999999991,14.384951
82,9.085486599068361e-07,1.9539178923161148e-07,1.0,0.9513115543939121,0.07656099999999988,14.461511999999999
83,8.884498393029018e-07,3.999810459722681e-07,1.0,0.9756018927408068,0.11206100000000063,14.573573
84,8.725246651803916e-07,1.9656323017779468e-07,1.0,0.9515877087661533,0.08066400000000051,14.654237
85,8.507884342520132e-07,2.908422556556215e-07,1.0,0.9667571993661676,0.09223800000000004,14.746475
86,8.33355991730151e-07,1.9708527465499743e-07,1.0,0.951709332296386,0.07972599999999908,14.826201
87,8.182493937757589e-07,2.650588583067321e-07,1.0,0.9636411383522179,0.08707900000000102,14.91328
88,8.048542706931287e-07,1.8164451031907493e-07,1.0,0.9478188816504225,0.07867099999999994,14.991951
89,7.885802870873332e-07,2.796000087488277e-07,1.0,0.9654663400762677,0.08989399999999925,15.081845
90,7.748706174260707e-07,1.6899137615689623e-07,1.0,0.9441305009307873,0.07684000000000069,15.158685
91,7.56754694248315e-07,2.9653558168703027e-07,1.0,0.9673739752370655,0.09217399999999998,15.250859
92,7.419875421198142e-07,1.6038865216529083e-07,1.0,0.9413098703943037,0.07645899999999983,15.327318
93,7.228680236295926e-07,2.8910654591390746e-07,1.0,0.9665638832819226,0.0910580000000003,15.418376
94,7.079810666923052e-07,1.5805081869440814e-07,1.0,0.940493354635291,0.0736119999999989,15.491988
95,6.915174162451108e-07,2.551513992314168e-07,1.0,0.9622826659646931,0.08481300000000047,15.576801
96,6.78837229314966e-07,1.4676431569495978e-07,1.0,0.9362092815527788,0.07700400000000052,15.653805
97,6.619438017419917e-07,2.7347420782783694e-07,1.0,0.964719958539578,0.08506900000000073,15.738874000000001
98,6.49125653580435e-07,1.4234291772078598e-07,1.0,0.9343579643393287,0.07283699999999982,15.811711
99,6.31686051212867e-07,2.341452850381877e-07,1.0,0.9590384055177772,0.08141299999999774,15.893123999999998
100,6.1855329502796e-07,1.3957118164753384e-07,1.0,0.9331414094325807,0.07232700000000136,15.965451
101,6.050059480945234e-07,2.3525757554439604e-07,1.0,0.9592235795997064,0.08440600000000131,16.049857000000003
102,5.93920891474098e-07,1.272718375256171e-07,1.0,0.9271513040900954,0.06938499999999692,16.119242
103,5.778525334452567e-07,2.2873721789634145e-07,1.0,0.9581105536832903,0.07715700000000325,16.196399000000003
104,5.658246359882734e-07,1.2356295641691444e-07,1.0,0.9251282968670438,0.06977799999999945,16.266177000000003
105,5.533626626497507e-07,2.2695290727409244e-07,1.0,0.9577943006967394,0.07913599999999832,16.345313
106,5.434434791807533e-07,1.1765780180737779e-07,1.0,0.9216651070288826,0.06857800000000225,16.413891000000003
107,5.267652038698714e-07,1.9407763678265654e-07,1.0,0.9509973807977263,0.07426099999999991,16.488152000000003
