k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.469570892796963,1.0,0.09138694413002532,0.22652300000000003,0.22652300000000003
1,0.5260981341126694,0.34759822484375374,1.0,0.026813075066204378,0.22439999999999993,0.45092299999999996
2,0.4208268814091602,0.26301988540002963,1.0,0.025065916334362042,0.245981,0.696904
3,0.3488965533580764,0.20443536052337488,1.0,0.03492659992259847,0.23056699999999997,0.9274709999999999
4,0.2972076919367976,0.1634471322946023,1.0,0.044457024200647524,0.23423900000000009,1.16171
5,0.25859845105150453,0.13412717057830428,1.0,0.04986510864587426,0.26480799999999993,1.426518
6,0.22882808663153734,0.11260429014798144,1.0,0.05319428162090115,0.2445870000000001,1.671105
7,0.2052513416144469,0.09644605130035053,1.0,0.058615362925788554,0.23151599999999983,1.902621
8,0.18604889940938768,0.08387846851857246,1.0,0.06342578913268691,0.23597100000000015,2.138592
9,0.17017310221509827,0.07393985104953367,1.0,0.06697619759459049,0.23698499999999978,2.375577
10,0.15678423410206227,0.06592407021549705,1.0,0.07124747484288174,0.22463000000000033,2.600207
11,0.14534154640863528,0.05935915306915622,1.0,0.0741085672957348,0.23078500000000002,2.830992
12,0.13544536029993443,0.05388536312217903,1.0,0.07571175006812816,0.23192699999999977,3.062919
13,0.12678756965319904,0.04926290280282022,1.0,0.07675433275524039,0.22620700000000005,3.289126
14,0.11914682771978685,0.04531344890741144,1.0,0.08098103598655208,0.22888699999999984,3.518013
15,0.11236012430592004,0.04191732457530788,1.0,0.08023884584517099,0.24072700000000058,3.7587400000000004
16,0.10627092157807459,0.03895241255339923,1.0,0.08370542737902048,0.268694,4.027434
17,0.10077787302924737,0.03635845225837471,1.0,0.08493528969445023,0.2825869999999995,4.310021
18,0.09579536032920313,0.03403919925775818,1.0,0.08746018008173341,0.23290699999999998,4.542928
19,0.09125271978680079,0.03198725691230282,1.0,0.08617067687754587,0.22941900000000004,4.772347
20,0.08709654154538159,0.030154000096651673,1.0,0.08622113449660991,0.22615300000000005,4.9985
21,0.08327572511362547,0.028502284100506307,1.0,0.08435447610543625,0.22374899999999975,5.222249
22,0.0797569248723457,0.027008891515167152,1.0,0.08367698176190579,0.2385489999999999,5.460798
23,0.0764961001410841,0.025642482559697265,1.0,0.0835300764036426,0.23939900000000058,5.700197
24,0.07346943923835886,0.024399500539327684,1.0,0.08415366542986988,0.23193299999999972,5.93213
25,0.07065215820455939,0.023265608347496546,1.0,0.0835868028060186,0.22927600000000048,6.161406
26,0.06802304550878872,0.022217804902355295,1.0,0.08059373750085687,0.22230299999999925,6.383709
27,0.06555942625953501,0.02125832829866034,1.0,0.08369769446930214,0.21779700000000002,6.601506
28,0.06324882586753126,0.02037080831767196,1.0,0.08469827448470035,0.22587000000000046,6.827376
29,0.06107751214903144,0.019549326729722444,1.0,0.08155096004353017,0.2150660000000002,7.042442
30,0.059033428981515534,0.01878123534076505,1.0,0.0804209235683715,0.216399,7.258841
31,0.057106074758085636,0.018068444047808722,1.0,0.08178437145310036,0.22626399999999958,7.485105
32,0.05528343743244339,0.017397209892583504,1.0,0.0826674399047495,0.21703000000000028,7.702135
33,0.05355918489936275,0.016771486234761546,1.0,0.08176089227319626,0.2183969999999995,7.920532
34,0.05192517256999382,0.016182944366626886,1.0,0.08191531654108755,0.22285300000000063,8.143385
35,0.05037259021057947,0.015637801980535083,1.0,0.08052745357445765,0.21394499999999894,8.35733
36,0.04889897719792844,0.015119395900666712,1.0,0.07855111448938214,0.21408700000000103,8.571417
37,0.047496808313510684,0.01463535124005129,1.0,0.08047592982176947,0.21381099999999975,8.785228
38,0.046161260947122,0.014174293029553316,1.0,0.07789420865161069,0.21183199999999935,8.99706
39,0.04488715803020493,0.013747417930230743,1.0,0.07939112179668913,0.21858900000000148,9.215649
40,0.04367122253429644,0.013335766877599516,1.0,0.07786294150123278,0.2222919999999995,9.437941
41,0.0425099223635267,0.012944488719588775,1.0,0.0792154868959392,0.21358500000000014,9.651526
