k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.469570892796963,1.0,0.09138694413002532,0.23546300000000003,0.23546300000000003
1,0.27448384018846095,0.14278641075922102,1.0,0.12658038174048655,0.21610299999999993,0.45156599999999997
2,0.14946274668893164,0.05926100318897866,1.0,0.2760410583394202,0.239993,0.691559
3,0.08029433892073314,0.026452143491730428,1.0,0.4954660604848757,0.22514600000000007,0.9167050000000001
4,0.040829961140645354,0.013710087862400416,1.0,0.5942243312154801,0.23999099999999984,1.156696
5,0.02075611123777994,0.008077846395856906,1.0,0.5462398123824774,0.2611340000000002,1.4178300000000001
6,0.011558528701912959,0.004826071407405151,1.0,0.49551794961911133,0.255641,1.6734710000000002
7,0.006329595263832086,0.0025222533726699287,1.0,0.5333168076281187,0.26907799999999993,1.942549
8,0.0035354110596462034,0.001545236157901555,1.0,0.49976237078642566,0.22552899999999987,2.168078
9,0.0021634260306231962,0.0009700446686257158,1.0,0.48059052258513024,0.22670900000000005,2.394787
10,0.001324489662811283,0.0005993570192161477,1.0,0.4862066060030279,0.2217229999999999,2.61651
11,0.0008246621204985545,0.0003773681684565652,1.0,0.4812202665648396,0.22832000000000008,2.84483
12,0.0005506462841937663,0.00026746334882450147,1.0,0.4578800836671589,0.21933000000000025,3.06416
13,0.00038098975495426434,0.00017713477522847697,1.0,0.4843736897602718,0.2131459999999996,3.277306
14,0.00027204704164713456,0.00013542492935713748,1.0,0.4457586447710362,0.2218580000000001,3.499164
15,0.00020118636515441285,9.36329669092563e-05,1.0,0.49034443082861434,0.21991900000000042,3.7190830000000004
16,0.000149310853486549,7.487714552094139e-05,1.0,0.46063794770982586,0.21847100000000008,3.9375540000000004
17,0.0001163980946352346,6.061016115105216e-05,1.0,0.44443927862528637,0.22547799999999985,4.163032
18,9.217695432856168e-05,4.43857036566735e-05,1.0,0.4892944035580763,0.21055899999999994,4.373591
19,7.451544387413942e-05,3.6409975162681755e-05,1.0,0.4825998101485701,0.2211129999999999,4.594704
20,6.264802458213249e-05,3.152014776808674e-05,1.0,0.46466008944998954,0.22627299999999995,4.820977
21,5.2608270227769064e-05,2.5040562703999005e-05,1.0,0.49929902781583585,0.22356700000000007,5.044544
22,4.4352168414717744e-05,2.272774464048103e-05,1.0,0.4662483715078999,0.2352439999999998,5.279788
23,3.877102654709404e-05,1.7655509853218373e-05,1.0,0.524437331612979,0.21517600000000048,5.494964
24,3.339858574114546e-05,1.7406435585987167e-05,1.0,0.4651235130801065,0.22769199999999934,5.722656
25,2.974532830803672e-05,1.314070212980286e-05,1.0,0.5479314885427661,0.21463700000000063,5.937293
26,2.5944756575202784e-05,1.2596225961141224e-05,1.0,0.5016710138619279,0.22382100000000005,6.161114
27,2.3693381790270912e-05,1.0002341511475051e-05,1.0,0.5737172746278698,0.22448099999999993,6.385595
28,2.107171767373595e-05,1.0216809453689862e-05,1.0,0.5087193769248324,0.22603299999999926,6.611628
29,1.964659211494893e-05,7.490776571357458e-06,1.0,0.6345309184641345,0.22095800000000043,6.832586
30,1.7646806014363478e-05,9.093408201135656e-06,1.0,0.48092490218284983,0.21148800000000012,7.044074
31,1.6916468322608208e-05,4.963273444341906e-06,1.0,0.8281794251201359,0.22719500000000004,7.271269
32,1.4616058976775985e-05,8.660883344953779e-06,1.0,0.4420405339544623,0.22758699999999976,7.498856
33,1.4547593427542869e-05,1.023344358540714e-05,1.0,0.355908539781501,0.22157600000000066,7.720432000000001
34,1.4507328571093676e-05,9.247202508555248e-06,1.0,0.3861645837257565,0.23338599999999943,7.953818
