k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.469570892796963,1.0,0.08713160125360443,0.22969500000000004,0.22969500000000004
1,0.527204562912064,0.34893893677384974,1.0,0.022994547961091964,0.21255199999999996,0.442247
2,0.4217651318989634,0.2642448641857853,1.0,0.022863870764333726,0.23536500000000005,0.6776120000000001
3,0.34963433439249136,0.20543180401959282,1.0,0.0320283781312918,0.22068300000000007,0.8982950000000002
4,0.2978320212238137,0.1642994496912131,1.0,0.04075380861407697,0.2278429999999998,1.126138
5,0.25914809368789327,0.13487681806830215,1.0,0.044978752740057075,0.24942900000000012,1.3755670000000002
6,0.22933027828803837,0.1132782128667122,1.0,0.047252201933696704,0.26333800000000007,1.6389050000000003
7,0.2057162194916562,0.0970578024893604,1.0,0.052194922615150345,0.3081499999999999,1.9470550000000002
8,0.18648400718931016,0.08443716831809729,1.0,0.0560545989348095,0.2240479999999998,2.171103
9,0.1705814698362693,0.0744562789797882,1.0,0.05935977773864375,0.21676000000000029,2.3878630000000003
10,0.15717271902864274,0.06640511217099154,1.0,0.06308599394449825,0.2143980000000001,2.6022610000000004
11,0.14571257515824598,0.05980627750280333,1.0,0.06589696007798516,0.22896599999999978,2.831227
12,0.13580045608223654,0.054303405329168955,1.0,0.06709582215682364,0.2411620000000001,3.0723890000000003
13,0.1271294123355256,0.04965879100257988,1.0,0.06760819457738011,0.23880899999999983,3.311198
14,0.11947603363219028,0.04568474559308306,1.0,0.07216046232189134,0.22951100000000002,3.540709
15,0.1126788754965394,0.04226800638246147,1.0,0.07113673670195214,0.2266849999999998,3.767394
16,0.10657932105219292,0.03928433023613856,1.0,0.07437667610200237,0.22791300000000003,3.995307
17,0.10107627649990615,0.03666982624747928,1.0,0.07492118806708215,0.21835000000000004,4.2136569999999995
18,0.0960842305255366,0.03433613779711129,1.0,0.07756888509235958,0.25949199999999983,4.473148999999999
19,0.09153342375411942,0.03226778963147581,1.0,0.07636460398195873,0.23581000000000074,4.708959
20,0.08736947037963234,0.030417803687022234,1.0,0.0767210642011588,0.21809299999999965,4.927052
21,0.0835415232962718,0.028754181376448928,1.0,0.0745685443676913,0.22133800000000026,5.14839
22,0.0800160834764082,0.0272498510634925,1.0,0.07367836712575385,0.22772799999999993,5.376118
23,0.07674874295058745,0.025873720967937348,1.0,0.07364608661260148,0.22342700000000004,5.599545
24,0.0737159238432062,0.024621211598822502,1.0,0.07422823226585695,0.21594999999999942,5.815494999999999
25,0.07089281044340855,0.023477790874249328,1.0,0.07353260058241043,0.2093259999999999,6.024820999999999
26,0.06825806405010988,0.022422210116742974,1.0,0.07100008832654937,0.22641200000000072,6.251233
27,0.06578919663656475,0.02145418405346655,1.0,0.07390379938820295,0.2182069999999996,6.46944
28,0.06347339994997322,0.020557962537779424,1.0,0.07562007605912119,0.2131759999999998,6.6826159999999994
29,0.06129717615840741,0.019729030133516654,1.0,0.0721252778962163,0.2200230000000003,6.902639
30,0.05924853088255789,0.018953547533364656,1.0,0.07087146385658699,0.21303699999999992,7.115676
31,0.057317000615640434,0.018235300888331415,1.0,0.07204109158691173,0.2152750000000001,7.330951
32,0.05549008717470387,0.01755780741868947,1.0,0.07303734813873894,0.2237549999999997,7.5547059999999995
33,0.053761737911996656,0.016926166561719448,1.0,0.07268659191711623,0.21687100000000026,7.771577
34,0.05212380321491048,0.01633364664289899,1.0,0.0727803036580682,0.21590699999999963,7.987483999999999
35,0.05056760090897782,0.015781903049572756,1.0,0.07095268330530163,0.2167300000000001,8.204214
36,0.04909035987813869,0.015259361230672185,1.0,0.06920702399864737,0.2255540000000007,8.429768000000001
