k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.6931471805599454,0.469570892796963,1.0,0.05668099999999998,0.05668099999999998
1,0.6669284702310024,0.4503024269797073,1.0,0.051871,0.10855199999999998
2,0.6413608350496585,0.4288421051572931,1.0,0.04816999999999999,0.15672199999999997
3,0.6198897595904097,0.411769221015504,1.0,0.04992099999999999,0.20664299999999997
4,0.5957287081776139,0.3900051466810294,1.0,0.04820800000000003,0.254851
5,0.574339220193573,0.3740364003521776,1.0,0.05034499999999997,0.30519599999999997
6,0.5569798566050095,0.3613012346799999,1.0,0.05184500000000003,0.357041
7,0.5411216363453376,0.3476951494055448,1.0,0.04837899999999995,0.40541999999999995
8,0.5259486431535907,0.33764102024771203,1.0,0.04559200000000008,0.451012
9,0.5114514451368364,0.3282206310599838,1.0,0.047819999999999974,0.498832
10,0.49468711632078644,0.3158337170135322,1.0,0.047467999999999955,0.5463
11,0.47606901654439243,0.30358676434325543,1.0,0.04895700000000003,0.595257
12,0.4624481464018569,0.2949059312491237,1.0,0.04906699999999997,0.644324
13,0.45123911322215443,0.28774020715476395,1.0,0.05003500000000005,0.6943590000000001
14,0.4396397959447611,0.2791742318577446,1.0,0.04957200000000006,0.7439310000000001
15,0.4269540341160847,0.26955148215858393,1.0,0.05100299999999991,0.794934
16,0.41444041078801874,0.26056199918869083,1.0,0.0483309999999999,0.8432649999999999
17,0.40422709108164623,0.25251346574820405,1.0,0.04818800000000012,0.891453
18,0.39556369519381485,0.24477380278024388,1.0,0.046983,0.938436
19,0.38652724808573835,0.2402235238496475,1.0,0.046848,0.985284
20,0.37843621589986387,0.23554473771181972,1.0,0.04756300000000002,1.032847
21,0.3713063006656782,0.22874686578669887,1.0,0.04608799999999991,1.078935
22,0.36390174651364926,0.22530552847596108,1.0,0.046964000000000006,1.125899
23,0.3533365099727397,0.2172187492797075,1.0,0.04699399999999998,1.172893
24,0.3452110666458766,0.21200578238368534,1.0,0.05225999999999997,1.225153
