k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.0,32.048512665192554,1.0,0.015625,0.015625
1,-0.11522191522742929,31.975388699818396,1.0,0.0625,0.078125
2,-0.27835873092785457,31.911614373055816,1.0,0.0,0.078125
3,-0.3815587883714728,31.83310805257597,1.0,0.015625,0.09375
4,-0.4629418181098493,31.716940346301968,1.0,0.015625,0.109375
5,-0.5642453831968012,31.549140630132634,1.0,0.015625,0.125
6,-0.634684081224455,31.44750348638885,1.0,0.015625,0.140625
7,-0.6592948006953774,31.434074068892947,1.0,0.015625,0.15625
8,-0.7460953106184666,31.317530311211645,1.0,0.015625,0.171875
9,-0.8200339757887936,31.227950653660773,1.0,0.015625,0.1875
10,-0.9903225722625739,30.929783370830503,1.0,0.015625,0.203125
11,-1.052097661377785,30.930475495071757,1.0,0.015625,0.21875
12,-1.2836209139501678,30.74867902541824,1.0,0.015625,0.234375
13,-1.3662835464029486,30.730457715161982,1.0,0.015625,0.25
14,-1.4053026595156757,30.69002261332805,1.0,0.015625,0.265625
15,-1.4548979737446313,30.609624871650748,1.0,0.015625,0.28125
16,-1.5415514249219984,30.546730915938177,1.0,0.015625,0.296875
17,-1.6419427317044764,30.408733508411718,1.0,0.015625,0.3125
18,-1.7909460523257181,30.202475028907685,1.0,0.015625,0.328125
19,-1.8142066003832196,30.20582732036703,1.0,0.015625,0.34375
20,-1.9693524343875062,29.966413370321447,1.0,0.015625,0.359375
21,-2.01160987824229,29.975310573071177,1.0,0.125,0.484375
22,-2.0821674391248286,29.927115359188942,1.0,0.0,0.484375
23,-2.1592102212447357,29.810806247017506,1.0,0.015625,0.5
24,-2.268429890002213,29.78742989896079,1.0,0.015625,0.515625
25,-2.363417087273405,29.664670451972103,1.0,0.015625,0.53125
26,-2.4861713386811863,29.482032177471723,1.0,0.015625,0.546875
27,-2.549675621987589,29.44964642203072,1.0,0.015625,0.5625
28,-2.648462075208578,29.333209551110194,1.0,0.015625,0.578125
29,-2.756520358276871,29.15516806318058,1.0,0.015625,0.59375
30,-2.853724232701516,29.04987151376743,1.0,0.015625,0.609375
31,-2.9363134926455876,29.04418908867478,1.0,0.015625,0.625
32,-2.9977126255744837,28.92423929101135,1.0,0.015625,0.640625
33,-3.0720630957725277,28.799202029288296,1.0,0.015625,0.65625
34,-3.126795669040415,28.673069654907522,1.0,0.015625,0.671875
35,-3.1582627513994526,28.685318579926435,1.0,0.015625,0.6875
36,-3.201766439205257,28.600391226599534,1.0,0.015625,0.703125
37,-3.3183941139339272,28.521185631680076,1.0,0.015625,0.71875
38,-3.41179089594802,28.408105431720816,1.0,0.015625,0.734375
39,-3.459205041516593,28.369457064537862,1.0,0.015625,0.75
40,-3.5641007549436767,28.198198780763565,1.0,0.015625,0.765625
41,-3.6454231448170953,28.111020663266732,1.0,0.015625,0.78125
42,-3.6986610375518816,28.082028644002243,1.0,0.015625,0.796875
43,-3.7780454095540614,27.949680136227176,1.0,0.015625,0.8125
44,-3.829348213376599,27.810353043861365,1.0,0.015625,0.828125
45,-3.8825196966984565,27.712160827117806,1.0,0.015625,0.84375
46,-3.947006330015671,27.67729245159103,1.0,0.015625,0.859375
47,-4.001700106002003,27.529832364767103,1.0,0.09375,0.953125
48,-4.071740423918461,27.52673776998846,1.0,0.046875,1.0
49,-4.147109374926925,27.38922613935105,1.0,0.0,1.0
50,-4.225469731880425,27.289219502988463,1.0,0.046875,1.046875
51,-4.29846818337983,27.248134534575602,1.0,0.015625,1.0625
52,-4.349505880085226,27.199903129701962,1.0,0.015625,1.078125
53,-4.464483746637673,27.136225851718702,1.0,0.015625,1.09375
54,-4.532250711789207,27.05514240927017,1.0,0.015625,1.109375
55,-4.548879570126248,27.075650793528904,1.0,0.015625,1.125
56,-4.6064911704316245,27.014020899095748,1.0,0.015625,1.140625
57,-4.659387208146918,26.958286433400183,1.0,0.015625,1.15625
58,-4.708273820062627,26.899108272900737,1.0,0.015625,1.171875
59,-4.806318704242829,26.78460788891681,1.0,0.09375,1.265625
60,-4.8665274144156605,26.70260215775647,1.0,0.015625,1.28125
61,-4.898513039918418,26.696967714528224,1.0,0.015625,1.296875
62,-4.947537497128287,26.704505226993188,1.0,0.015625,1.3125
63,-5.0175063911235664,26.654018268837227,1.0,0.015625,1.328125
64,-5.072788709076569,26.64536993290607,1.0,0.015625,1.34375
65,-5.102536072240583,26.647451627353526,1.0,0.015625,1.359375
66,-5.180575814557551,26.589250584709795,1.0,0.03125,1.390625
67,-5.247364497293268,26.514227762742436,1.0,0.015625,1.40625
68,-5.329888305807618,26.381045039365592,1.0,0.015625,1.421875
69,-5.375706961504252,26.328360233918904,1.0,0.015625,1.4375
70,-5.411298146226536,26.249997507654278,1.0,0.015625,1.453125
71,-5.548397635982661,26.100945290251072,1.0,0.015625,1.46875
72,-5.631205878540532,25.90102645386415,1.0,0.015625,1.484375
73,-5.701697171657564,25.74712167272037,1.0,0.015625,1.5
74,-5.771163345482579,25.66582108154928,1.0,0.078125,1.578125
75,-5.841325482660211,25.59146250974083,1.0,0.078125,1.65625
76,-5.9162723962202195,25.508060030572366,1.0,0.0,1.65625
77,-5.945932113911218,25.509279326030523,1.0,0.125,1.78125
78,-5.989114297794808,25.394410817684,1.0,0.015625,1.796875
79,-6.087482705994714,25.157700118742323,1.0,0.015625,1.8125
80,-6.176480068306367,25.021806723734795,1.0,0.015625,1.828125
81,-6.269807693374076,24.924440613527374,1.0,0.015625,1.84375
82,-6.348699566075586,24.832753904971312,1.0,0.015625,1.859375
83,-6.388741783160531,24.753205220555547,1.0,0.015625,1.875
84,-6.433945930029261,24.722297402648106,1.0,0.015625,1.890625
85,-6.500749977867663,24.63686051292038,1.0,0.015625,1.90625
86,-6.596667804982268,24.48160865505653,1.0,0.015625,1.921875
87,-6.739785390519691,24.39771271602777,1.0,0.015625,1.9375
88,-6.762044480040569,24.382940841119144,1.0,0.015625,1.953125
89,-6.831730021876984,24.19250946902706,1.0,0.0,1.953125
90,-6.940394249751732,23.931952327484794,1.0,0.125,2.078125
91,-6.984579707552952,23.84126455274155,1.0,0.0,2.078125
92,-7.028770919819741,23.82543789037207,1.0,0.09375,2.171875
93,-7.072864097974479,23.76819924886269,1.0,0.015625,2.1875
94,-7.1173915660444855,23.741708092301884,1.0,0.015625,2.203125
95,-7.177068849876082,23.687833063857745,1.0,0.015625,2.21875
96,-7.229309303860625,23.578047171140636,1.0,0.015625,2.234375
97,-7.279113906466565,23.517043341251487,1.0,0.015625,2.25
98,-7.320936216403983,23.445772298382913,1.0,0.015625,2.265625
99,-7.347198292666997,23.41435116341118,1.0,0.015625,2.28125
100,-7.39865684955413,23.408886775414267,1.0,0.015625,2.296875
