k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.5108990197862524,1.0,0.7857402505343617,0.290608,0.290608
1,0.5633940852447847,0.4019643022651101,1.0,0.7809909411551573,0.368587,0.659195
2,0.4504387794283883,0.3143621296528209,1.0,0.8167307051829019,0.34627399999999997,1.005469
3,0.37104158114386665,0.2560046529884419,1.0,0.8406618126975509,0.288929,1.294398
4,0.31142793332292174,0.21459140284581213,1.0,0.8744162991395974,0.30194500000000013,1.596343
5,0.2701867738126402,0.18715260186959382,1.0,0.8779785266181975,0.26634499999999983,1.862688
6,0.23621838889950192,0.16337711638579497,1.0,0.8760077211524633,0.25461500000000026,2.117303
7,0.20651346317934344,0.1429749110894668,1.0,0.897634780821332,0.26850499999999977,2.385808
8,0.18515831358320747,0.1289008321062836,1.0,0.8542487322963277,0.2519330000000002,2.637741
9,0.16152034946620605,0.110171441726894,1.0,0.8905748187409932,0.2553669999999997,2.893108
10,0.14247452493435298,0.09801537704226873,1.0,0.8977769313599588,0.2641420000000001,3.15725
11,0.1276115985507603,0.08821336242892903,1.0,0.9031783184277202,0.2724920000000002,3.429742
12,0.11534556514214937,0.08006365822281637,1.0,0.8862249999302688,0.25341199999999997,3.683154
13,0.10307947148022029,0.07096987543628179,1.0,0.9003358168186293,0.25054200000000026,3.9336960000000003
14,0.09382535083172439,0.06414930257378211,1.0,0.909901428269529,0.29942699999999967,4.233123
15,0.0851559984359996,0.05859819913060886,1.0,0.9001452438142714,0.2578180000000003,4.490941
16,0.07747898929720082,0.05308806087652383,1.0,0.9067121088397273,0.29577799999999943,4.786719
17,0.0702377865144341,0.04850546755999984,1.0,0.905933334135206,0.26853000000000016,5.055249
18,0.0637122754974584,0.04410000045212851,1.0,0.8992252454472898,0.25553399999999993,5.310783
19,0.05849460401096078,0.04004151367608169,1.0,0.9114836766451297,0.2602980000000006,5.571081
20,0.05363924319021113,0.036786298293804795,1.0,0.9060880577262764,0.2889689999999998,5.86005
21,0.04926023010146059,0.03338127541766695,1.0,0.8899974463415261,0.25465800000000005,6.114708
22,0.04474002159774727,0.029932883203821443,1.0,0.9147293554367057,0.24826299999999968,6.362971
