k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.0,32.048512665192554,1.0,0.48607481450630025,0.515625,0.515625
1,-13.616484029165575,16.99826041485781,1.0,0.5656248473933383,1.0,1.515625
2,-18.33929403514337,11.249735353400377,1.0,0.6253633397925356,0.875,2.390625
3,-20.678541531580052,8.673688991120656,1.0,0.5899283818099396,0.578125,2.96875
4,-22.121226053891345,6.704115446094912,1.0,0.6143321931185262,0.84375,3.8125
5,-22.967399127156188,5.350426882100317,1.0,0.5467480974405187,0.90625,4.71875
6,-23.51150254721521,3.892328603330772,1.0,0.5609506514468373,0.9375,5.65625
7,-23.79362868470439,2.8776054390394448,1.0,0.5772835935709335,1.25,6.90625
8,-23.954410883047665,2.2447003497644658,1.0,0.5445279437723628,0.828125,7.734375
9,-24.050464722702433,1.67084417251577,1.0,0.5486656155177395,0.65625,8.390625
10,-24.101604957402838,1.2301050467400938,1.0,0.5775460004980197,0.46875,8.859375
11,-24.1314836127702,0.9803263351001033,1.0,0.5644371412695738,0.609375,9.46875
12,-24.15088708230352,0.7787304540392749,1.0,0.543275769810644,0.609375,10.078125
13,-24.162898303613197,0.5999731391165217,1.0,0.5355060004679288,0.859375,10.9375
14,-24.16979615130938,0.44377241669357337,1.0,0.5713845019932504,0.859375,11.796875
15,-24.17372470006698,0.35069213845529,1.0,0.5335150797253827,0.703125,12.5
16,-24.1761039030381,0.2598526281789651,1.0,0.555413565674283,0.875,13.375
17,-24.177432962122,0.19590600220024995,1.0,0.5893171041354843,0.625,14.0
18,-24.17825956072396,0.162432614088827,1.0,0.5548411605245595,0.84375,14.84375
19,-24.178776449542333,0.12541860487980158,1.0,0.515297152110976,0.71875,15.5625
20,-24.179068471249895,0.08987762498206395,1.0,0.5566497330789242,0.90625,16.46875
21,-24.179223208382027,0.06904268749815982,1.0,0.5720538163922199,0.65625,17.125
22,-24.179316039943554,0.054136657432230666,1.0,0.5672230823258494,0.703125,17.828125
23,-24.17937823635361,0.0433880856408172,1.0,0.5392592678082022,0.78125,18.609375
24,-24.179414844071445,0.033155603032950495,1.0,0.5608771530155122,0.671875,19.28125
25,-24.17943600848062,0.025754076679929298,1.0,0.5566378007546774,0.734375,20.015625
26,-24.17944878462883,0.020030406528808054,1.0,0.5397837932865085,0.8125,20.828125
27,-24.179456215387006,0.014899738749674346,1.0,0.5219178202652414,1.15625,21.984375
28,-24.179460452811547,0.011080256299076477,1.0,0.5656078110275978,0.875,22.859375
29,-24.179462885956635,0.008803370472077137,1.0,0.5199793431360269,1.03125,23.890625
30,-24.17946430157851,0.006345403407076976,1.0,0.5172863930794335,0.96875,24.859375
31,-24.17946508956541,0.004725513783266039,1.0,0.5514560957009875,1.09375,25.953125
32,-24.179465494659077,0.0036387045032065645,1.0,0.5724554738940995,0.921875,26.875
33,-24.17946573477872,0.0029196828296113725,1.0,0.5757012413937895,0.703125,27.578125
34,-24.17946586403467,0.0021534640098387165,1.0,0.6968634091600111,1.0625,28.640625
35,-24.17946595252008,0.0020771936259508968,1.0,0.6346367997895205,0.953125,29.59375
36,-24.179466012713466,0.0016273991081295772,1.0,0.755972359173794,0.5625,30.15625
37,-24.179466066326846,0.0017354346836343099,1.0,0.6625810619528316,0.890625,31.046875
38,-24.17946610162275,0.0012667287997984653,1.0,0.8611849482470685,0.90625,31.953125
39,-24.179466143981504,0.0016877870351861138,1.0,0.5959273646437145,0.796875,32.75
40,-24.17946616130623,0.0009663847853351948,1.0,1.008666920370465,0.78125,33.53125
41,-24.179466192902044,0.0015850761281764596,1.0,0.5809155021982272,0.890625,34.421875
42,-24.179466201429932,0.0009590263364625237,1.0,0.9285471145427617,0.921875,35.34375
43,-24.179466224520805,0.0013001357650175129,1.0,0.6577760575686277,0.6875,36.03125
44,-24.179466238333386,0.0008363883906396067,1.0,0.9489769210751134,0.875,36.90625
45,-24.179466261397323,0.0013260175216337083,1.0,0.5586505969735968,0.984375,37.890625
46,-24.179466266703635,0.0008109639664170271,1.0,0.9116316751472845,0.890625,38.78125
47,-24.1794662806244,0.0009877314145950316,1.0,0.6576641024542175,0.96875,39.75
48,-24.17946629182444,0.0007252131442551905,1.0,0.8777788259261837,0.84375,40.59375
49,-24.179466305217332,0.0009516699101012211,1.0,0.6430435427894747,1.171875,41.765625
50,-24.17946631216564,0.0005967796123523098,1.0,0.9926398177832891,1.09375,42.859375
51,-24.179466324591644,0.0009734527819508039,1.0,0.5740673129678234,1.21875,44.078125
52,-24.179466327488353,0.0005933913501268537,1.0,0.8855408373677811,0.984375,45.0625
53,-24.17946633493599,0.0007208392454012345,1.0,0.7208555927955342,1.03125,46.09375
54,-24.179466340671233,0.0005602491855280829,1.0,0.8705538574078019,0.765625,46.859375
55,-24.17946634927967,0.0007649455309152983,1.0,0.5924098950027246,0.75,47.609375
56,-24.17946635238425,0.000435148065874999,1.0,0.9866068581756862,0.453125,48.0625
57,-24.179466359111395,0.000726608082697937,1.0,0.5893088867664984,0.921875,48.984375
58,-24.17946636052933,0.0004663488483668552,1.0,0.8648760772901265,0.8125,49.796875
59,-24.17946636447616,0.0005147198163985443,1.0,0.7254423072364569,0.75,50.546875
60,-24.179466368238604,0.0004484107683113212,1.0,0.7944332438000014,0.90625,51.453125
61,-24.179466372173188,0.00048684536870934226,1.0,0.6934129774305909,0.796875,52.25
62,-24.179466374920132,0.0003732056252156567,1.0,0.8617600235055992,0.5625,52.8125
63,-24.179466378550277,0.0004861361724848704,1.0,0.6204809262583849,0.671875,53.484375
64,-24.179466380063133,0.00029219412626907713,1.0,0.9785367787116989,0.5625,54.046875
65,-24.179466382992153,0.00048549417701908455,1.0,0.5744978131215656,0.96875,55.015625
66,-24.179466383662508,0.0003063535689190182,1.0,0.8981063864772251,0.765625,55.78125
67,-24.179466385575335,0.00036693134066936314,1.0,0.6921704430379665,1.09375,56.875
68,-24.179466387053772,0.0002745111274692473,1.0,0.8656620734707001,0.8125,57.6875
69,-24.179466389028622,0.0003682661440929386,1.0,0.6257199374156678,0.765625,58.453125
70,-24.179466389826775,0.00022183591891076294,1.0,0.9853305812867371,0.625,59.078125
71,-24.179466391634357,0.00036893305531053713,1.0,0.5793221353684795,0.78125,59.859375
