k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,2057.0,2069.4271671165434,3.492849839314596,1.0,7,4,10,1e-08,1e-08,10,0.0675214596713348
1,429.02782458180997,525.6537007365682,2.3567075193298406,0.03125,7,4,10,1e-08,1e-08,10,0.21497319261488382
2,349.5095160931419,563.8611931175392,1.8854669243507431,1.0,7,4,10,1e-08,1e-08,10,7.346096231580544
3,211.74258119036892,423.3327884723319,1.7008632190870323,1.0,7,4,10,1e-08,1e-08,10,51356.3571530558
4,138.71763948646762,307.4963331351874,1.3631428438459612,0.00390625,7,4,10,1e-08,1e-08,10,2062475.1737041972
5,79.49653444486557,200.1023290861336,0.8479857034396886,0.5,7,4,10,1e-08,1e-08,5,365.1183147023801
6,76.9203897074329,161.18276338132645,0.8983924192959712,0.0078125,7,4,10,1e-08,1e-08,10,379.8027667841437
7,33.797632493815726,93.75177092983034,0.5452372844380359,0.125,7,4,10,1e-08,1e-08,10,2367880.5987267536
8,30.13063875209281,88.78809602122354,0.5128973148246816,0.125,7,4,10,1e-08,1e-08,2,126.70112498009294
9,18.76531528166253,63.48757994358891,0.3412195495640294,0.0078125,7,4,10,1e-08,1e-08,10,1268.8957055806488
10,18.760588839389232,63.26652448558237,0.3409559000592412,0.015625,7,4,10,1e-08,1e-08,10,4012301.052631102
11,18.449908970793377,63.32884031000701,0.3244229523143899,0.125,7,4,10,1e-08,1e-08,3,120.60874479838974
12,17.683679605070022,55.202867512345854,0.41046882250856637,0.0078125,7,4,10,1e-08,1e-08,10,4818.415600904793
13,11.526978555386803,29.234432980520513,0.2989251565518949,0.03125,7,4,10,1e-08,1e-08,10,1249617.1316509119
14,11.491886778376006,27.722227523276228,0.3091470437431474,0.0078125,7,4,10,1e-08,1e-08,10,17075504.238556225
15,9.834088368184931,14.599290898588324,0.2642586731296537,0.03125,7,4,10,1e-08,1e-08,2,71.774252613679
16,9.661742046996725,11.58880256800655,0.2511790930754327,0.0078125,7,4,10,1e-08,1e-08,10,19408.318342171933
17,9.426655476706081,6.552903696765979,0.2443948288374398,0.0078125,7,4,10,1e-08,1e-08,6,78.0956274321578
18,9.337268509582358,3.800929392654862,0.22810227334027722,0.0078125,7,4,10,1e-08,1e-08,10,624.0215005076533
19,9.302472245973126,2.553672710732405,0.21971121204240832,0.0078125,7,4,10,1e-08,1e-08,10,471846.3673112746
20,9.279978533840225,1.9934768070818913,0.20693228170894468,0.001953125,7,4,10,1e-08,1e-08,6,65.98131818679448
21,9.279974704578239,1.9913535484989524,0.20691641952345136,0.00390625,7,4,10,1e-08,1e-08,10,24137.915423977858
22,9.279300215437445,2.010708731581293,0.2066230508327937,0.015625,7,4,10,1e-08,1e-08,10,1289999.0631229589
23,9.264643463449982,3.461882028809484,0.1858687744675909,0.0078125,7,4,10,1e-08,1e-08,9,76.44325454469598
24,9.232052635716848,2.5166851457872723,0.17284272378219612,0.0078125,7,4,10,1e-08,1e-08,10,22039.454680936007
25,9.207711451437756,2.0614613426879114,0.1613318115280783,0.015625,7,4,10,1e-08,1e-08,9,69.93771880946288
26,9.207589601350852,2.112287264250727,0.16074380257638227,0.015625,7,4,10,1e-08,1e-08,10,274.3760008258879
27,9.185454729198716,3.614288444444622,0.13672312279944743,0.0078125,7,4,10,1e-08,1e-08,10,2686.881365045242
28,9.150179303879325,2.7138666684665584,0.1231403526749419,0.015625,7,4,10,1e-08,1e-08,10,721065.826223456
29,9.145227041432593,5.119985710435009,0.0998789266604703,0.0078125,7,4,10,1e-08,1e-08,3,45.9035632870791
30,9.088464458168113,3.5195901290521325,0.08320733766722345,0.03125,7,4,10,1e-08,1e-08,10,844.8892514346384
31,9.082370383390034,3.251387325237964,0.08158223564078597,0.0078125,7,4,10,1e-08,1e-08,10,1642.7846466541303
32,9.044013900295795,2.438207408923962,0.06992366201788752,0.015625,7,4,10,1e-08,1e-08,10,474087.9827434113
33,9.013146012017547,3.9174929454709018,0.04354966476696709,0.015625,7,4,10,1e-08,1e-08,3,36.797932556453524
34,9.012098203293135,4.286769251451515,0.04032824471404674,0.0078125,7,4,10,1e-08,1e-08,10,386.9462433769697
35,8.956808781536878,2.917848704853504,0.0366936895113994,0.015625,7,4,10,1e-08,1e-08,10,15687.133751150077
36,8.938289190409533,5.012613591131148,0.034671710456557106,0.00048828125,7,4,10,1e-08,1e-08,10,577728.8145240583
37,8.937887376275967,5.011964333189149,0.03599338327633522,0.0078125,7,4,10,1e-08,1e-08,7,35.755557147403245
38,8.86824216572414,3.3012182837108943,0.047766915253457415,0.015625,7,4,10,1e-08,1e-08,10,218.2878958715687
39,8.864189801576803,5.931603089401853,0.0745509172386541,0.0078125,7,4,10,1e-08,1e-08,10,13816.17209823867
40,8.776453595109398,3.851451979699109,0.08831746980831819,0.015625,7,4,10,1e-08,1e-08,10,147744.43484321807
41,8.775234240311665,3.836488058724544,0.08908984372750034,0.0078125,7,4,10,1e-08,1e-08,10,4018671.1850784747
42,8.723357965726008,2.855497427677788,0.1031464055107793,0.00390625,7,4,10,1e-08,1e-08,2,42.27726346563701
43,8.72286005829639,2.7709840356682185,0.10325295923369392,0.015625,7,4,10,1e-08,1e-08,10,10410.669473769673
44,8.676816441863442,4.551364533616315,0.13587596551592176,0.0078125,7,4,10,1e-08,1e-08,10,245356.67299697414
45,8.673058787646832,4.242418330672911,0.1350088121941785,0.0078125,7,4,10,1e-08,1e-08,9,62.67647742103225
46,8.619370566801203,3.3024184020926097,0.15310997098757434,0.015625,7,4,10,1e-08,1e-08,10,900163.033921547
47,8.607195041366937,6.5300218296432835,0.1852867611877819,0.015625,7,4,10,1e-08,1e-08,10,367015.34559785144
48,8.601201233402028,6.04354929943606,0.1836413310827109,0.0078125,7,4,10,1e-08,1e-08,10,1103951.5331211148
49,8.533209353652751,4.84348819581542,0.2045581920075147,0.0078125,7,4,10,1e-08,1e-08,5,73.51285142456116
50,8.4798079331445,4.248906988247843,0.21652156826644448,0.0078125,7,4,10,1e-08,1e-08,10,1696.813579020841
