k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,2057.0,2069.4271671165434,3.492849839314596,1.0,7,4,10,0.0,0.0,10,0.06752145967213319
1,429.02782457596834,525.6537007303056,2.356707519318847,0.03125,7,4,10,0.0,0.0,10,0.21497319261690304
2,349.5095165801713,563.8611941171915,1.8854669254957543,1.0,7,4,10,0.0,0.0,10,7.346095676760233
3,211.74257925450647,423.3327858673681,1.700863210877742,1.0,7,4,10,0.0,0.0,10,51356.31465067217
4,138.71763691715972,307.4963320195802,1.3631427928169826,0.00390625,7,4,10,0.0,0.0,10,2062463.2385767912
5,79.49652459828006,200.1023102658411,0.8479856479189297,0.5,7,4,10,0.0,0.0,5,365.11827700824875
6,76.92039118502981,161.18276839758815,0.8983924270761464,0.0078125,7,4,10,0.0,0.0,10,379.8025257525785
7,33.79763499429365,93.75177426314545,0.5452373255100493,0.125,7,4,10,0.0,0.0,10,2367880.156156237
8,30.130638259701776,88.78808372900852,0.5128973522571714,0.125,7,4,10,0.0,0.0,2,126.70120852925875
9,18.765335447504153,63.487551057701296,0.3412201783103276,0.0078125,7,4,10,0.0,0.0,10,1269.4947251474796
10,18.76056218965817,63.26634684120194,0.34095590725299135,0.015625,7,4,10,0.0,0.0,10,4011052.1108691324
11,18.449577027051195,63.32751881199154,0.32441995529734585,0.125,7,4,10,0.0,0.0,3,120.60724871801726
12,17.683538354449276,55.20232245067832,0.4104690002160817,0.0078125,7,4,10,0.0,0.0,10,4816.165772020554
13,11.526927950984692,29.2341965988309,0.2989249324684669,0.03125,7,4,10,0.0,0.0,10,1248156.4611780946
14,11.491548336025707,27.720169444047013,0.3091404766922543,0.0078125,7,4,10,0.0,0.0,10,17053052.6644538
15,9.834029997821855,14.598399571030832,0.2642642276631265,0.03125,7,4,10,0.0,0.0,2,71.80773178029742
16,9.66184930398888,11.59059225105001,0.2511805072784129,0.0078125,7,4,10,0.0,0.0,10,19104.45188121154
17,9.426667190888601,6.552917847563347,0.24439413523426726,0.00048828125,7,4,10,0.0,0.0,7,78.14298818865576
18,9.426613118773663,6.54055041110546,0.24456993142707859,0.00390625,7,4,10,0.0,0.0,10,43607.422539081075
19,9.418976705491279,6.396232516389402,0.24279146376500124,0.0009765625,7,4,10,0.0,0.0,5,84.09261694473818
20,9.41896730976759,6.391342625298484,0.2427811229421612,0.0078125,7,4,10,0.0,0.0,10,72210.40057999277
21,9.334824410318785,3.733220773529356,0.22734826914202602,0.00390625,7,4,10,0.0,0.0,10,7219310.134503852
22,9.329687235744956,3.503770277690498,0.22622675594415156,0.001953125,7,4,10,0.0,0.0,2,88.45469947981702
23,9.329482585943275,3.477097294054618,0.22633973259006865,0.0078125,7,4,10,0.0,0.0,10,1115.7703600672262
24,9.29663952601702,2.287479071037444,0.21742744781939657,0.015625,7,4,10,0.0,0.0,10,473738.5631805407
25,9.294781824611576,2.1723065987312378,0.21717270289408028,0.015625,7,4,10,0.0,0.0,9,97.22416208263358
26,9.286067542817978,3.8557725368006825,0.19264993984534473,0.00390625,7,4,10,0.0,0.0,10,289.1958529388994
27,9.284526015551997,3.7152543179247495,0.1931887795806529,0.0078125,7,4,10,0.0,0.0,10,170045.13051134555
28,9.249007591597577,2.577112002846585,0.18457686863372327,0.001953125,7,4,10,0.0,0.0,7,92.51036756633903
29,9.248969785961036,2.5809246764250044,0.18453893245009298,0.0078125,7,4,10,0.0,0.0,10,27.749554287352982
30,9.224430496345772,2.0836792806656654,0.17053261925268742,0.0009765625,7,4,10,0.0,0.0,10,81994.8043730633
31,9.224194593918321,2.094968208053806,0.1702639307861574,0.015625,7,4,10,0.0,0.0,10,69.09101528011155
32,9.205722753636545,3.600101742830987,0.14954445464866478,0.0078125,7,4,10,0.0,0.0,10,582.2671234918251
33,9.16964816589499,2.6595564178847835,0.13404643907584557,0.015625,7,4,10,0.0,0.0,10,2232738.242686022
34,9.169039382241094,4.983665675750539,0.1131716547519229,0.0625,7,4,10,0.0,0.0,10,5254442.996525061
35,9.160824675866573,4.8487186218945215,0.1112719777454238,0.001953125,7,4,10,0.0,0.0,5,47.7843943714653
36,9.160564516300296,4.836068829588672,0.11141453817989733,0.0078125,7,4,10,0.0,0.0,10,5342.810079040949
37,9.098489388156333,3.025848502605425,0.09104455916765859,0.0078125,7,4,10,0.0,0.0,10,1152871.769345218
38,9.062917531973062,2.2706322252291136,0.0800001446238704,0.0009765625,7,4,10,0.0,0.0,8,32.29230420565286
39,9.06284130914874,2.254131124389695,0.07992876966202518,0.03125,7,4,10,0.0,0.0,10,1757.4470241077606
40,9.050118743235645,6.7879853265952175,0.039499967185254656,0.00390625,7,4,10,0.0,0.0,10,49840.24076395366
41,9.040463124411321,6.413221190227165,0.03946510347261914,0.0078125,7,4,10,0.0,0.0,8,36.24569986930632
42,8.9436305961926,3.814366242062834,0.03692093416030414,0.0078125,7,4,10,0.0,0.0,10,6785.275626504719
43,8.891927267083062,2.659586796154147,0.03296538715377012,0.015625,7,4,10,0.0,0.0,6,20.316092672867494
44,8.887299377578445,4.148059562372636,0.04230363897617117,0.0078125,7,4,10,0.0,0.0,10,1983451.3296715696
45,8.832183173855451,2.929772833609197,0.05845678352118373,0.015625,7,4,10,0.0,0.0,5,15.365825886324192
46,8.824707875902195,2.6990546175410177,0.060675112423557324,0.001953125,7,4,10,0.0,0.0,10,263.2798297995975
47,8.824569510898964,2.6372983620389863,0.06043958153975451,0.015625,7,4,10,0.0,0.0,10,17803.886740380425
48,8.778596961926402,4.0412400498765395,0.0859854171719118,0.0078125,7,4,10,0.0,0.0,10,198163.93469757304
49,8.722790412298338,2.909497765861817,0.10515021940485249,0.015625,7,4,10,0.0,0.0,10,2518701.8427506466
50,8.684113856471244,4.757297010982039,0.13605162947964083,0.015625,7,4,10,0.0,0.0,3,26.437302435588748
51,8.665327463393448,3.9621559623221256,0.1364673723958821,0.0078125,7,4,10,0.0,0.0,10,19376.286564810584
52,8.607807124142402,2.849611770205382,0.1549251398111384,0.015625,7,4,10,0.0,0.0,10,348759.8646618822
53,8.60565935956289,2.638393390197659,0.15463235017142454,0.00390625,7,4,10,0.0,0.0,7,49.908211324045006
54,8.605475677555349,2.680644965827863,0.1550825704413675,0.015625,7,4,10,0.0,0.0,10,3635461.601178981
55,8.547898404134095,3.8620793187639766,0.18775210347809418,0.0078125,7,4,10,0.0,0.0,3,45.33095435818513
56,8.4910259065263,2.8715785190760568,0.2053373891633126,0.03125,7,4,10,0.0,0.0,10,37.8199722616492
57,8.490096237637927,2.7483823706158144,0.20505675908649867,0.0078125,7,4,10,0.0,0.0,10,142.76351986658332
58,8.48979422544632,2.6814724265198264,0.20483835339587872,0.015625,7,4,10,0.0,0.0,10,5291.261549476105
59,8.430381019974972,3.9549357788826294,0.23994871102552118,0.0078125,7,4,10,0.0,0.0,10,346284.4540972133
60,8.376152388092821,3.2580902472461664,0.2554133543806096,0.015625,7,4,10,0.0,0.0,10,4796855.090774714
61,8.375271345821849,3.191190261439933,0.25568111696961665,0.001953125,7,4,10,0.0,0.0,2,107.31280763242417
62,8.375266756000478,3.190525765180862,0.2557002089588272,0.015625,7,4,10,0.0,0.0,10,3685.781649588522
63,8.365221548933715,6.8012751964060945,0.29511217359640207,0.0078125,7,4,10,0.0,0.0,10,194678.0901256227
64,8.333261689046969,7.391443547684574,0.3036178732308443,0.00390625,7,4,10,0.0,0.0,6,147.4987340376108
65,8.225681095319068,2.4766706177155946,0.3161690411361207,0.03125,7,4,10,0.0,0.0,10,34931.71857967837
66,8.1307464152012,7.194203341620349,0.38357155498976814,0.00390625,7,4,10,0.0,0.0,10,1489728.6336766821
67,8.040257320918158,3.0719688335759856,0.3960766181092938,0.00048828125,7,4,10,0.0,0.0,10,130.21857610733863
68,8.040256634687772,3.0705725173875087,0.39607697896335403,0.0078125,7,4,10,0.0,0.0,10,32248.928000475826
69,8.005321679338985,3.920164781150284,0.40992696341285034,0.03125,7,4,10,0.0,0.0,5,214.6977896932694
