k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,0.0,32.048512665192554,0.0,1.0,11,10,200,0.0,0.0,200,0.35374336458600053
1,-450.25516284196686,11.251526046144752,30.00850422270215,1.0,11,10,200,0.0,0.0,200,0.4799214434289622
2,-499.9146051258948,5.222830056513148,32.71212722783427,1.0,11,10,200,0.0,0.0,200,0.48122386411063606
3,-510.5621596998693,2.4459854151791145,32.486556208513726,1.0,11,10,200,0.0,0.0,200,0.48025471980603734
4,-512.9000406790183,1.1432771724174837,32.1048606022477,1.0,11,10,200,0.0,0.0,200,0.46740021263837733
5,-513.4184221253661,0.5199228791611681,32.03445416397923,1.0,11,10,200,0.0,0.0,200,0.49087238208862627
6,-513.5224627464463,0.2494765682680514,32.03501187791699,1.0,11,10,200,0.0,0.0,200,0.49677737184050746
7,-513.5462860949561,0.12079677601408119,32.04807362015054,1.0,11,10,200,0.0,0.0,200,0.45898378569386755
8,-513.5521222640605,0.05403260947901631,32.04779285774692,1.0,11,10,200,0.0,0.0,200,0.486525574038379
9,-513.5532560265635,0.025534249172717176,32.04803429013855,1.0,11,10,200,0.0,0.0,200,0.49414414410392643
10,-513.5535051084878,0.012402984801544935,32.048476040616485,1.0,11,10,200,0.0,0.0,200,0.4760549471502668
11,-513.5535654835287,0.005751864931935585,32.048335576151125,1.0,11,10,200,0.0,0.0,200,0.49044510480833303
12,-513.5535783241621,0.002720787287549671,32.048506508460854,1.0,11,10,200,0.0,0.0,200,0.47787746267762954
13,-513.553581224561,0.0012656561966780456,32.048548896756216,1.0,11,10,200,0.0,0.0,200,0.47787074670255
14,-513.5535818518845,0.0005892697827627886,32.048537384590745,1.0,11,10,200,0.0,0.0,200,0.48631358069969977
15,-513.5535819870049,0.00027748553384098325,32.04851881618832,1.0,11,10,200,0.0,0.0,200,0.4977887350487677
16,-513.5535820163794,0.00013508672963133948,32.04851771810493,1.0,11,10,200,0.0,0.0,200,0.48858972727065336
17,-513.5535820234551,6.401346209550203e-05,32.048513430100236,1.0,11,10,200,0.0,0.0,200,0.46382999853264895
18,-513.553582025091,2.871840378496483e-05,32.04851203036387,1.0,11,10,200,0.0,0.0,200,0.5086737126702755
19,-513.553582025406,1.4005191963656268e-05,32.04851187171073,1.0,11,10,200,0.0,0.0,200,0.48460732623834574
20,-513.5535820254819,6.641532495099879e-06,32.0485123304447,1.0,11,10,200,0.0,0.0,200,0.49158857961387464
21,-513.5535820254987,3.2036191581398222e-06,32.04851257097445,1.0,11,10,200,0.0,0.0,200,0.47958796737289405
22,-513.5535820255027,1.5091232434850585e-06,32.048512646315324,1.0,11,10,200,0.0,0.0,200,0.4822358866634763
23,-513.5535820255036,7.070836532899228e-07,32.04851265600236,1.0,11,10,200,0.0,0.0,200,0.5051896476088784
24,-513.5535820255037,3.4614370633313303e-07,32.048512660767294,1.0,11,10,200,0.0,0.0,200,0.469875922284109
25,-513.5535820255037,1.5793525068747375e-07,32.04851267283918,0.0625,11,10,200,0.0,0.0,200,0.47295589777967384
26,-513.5535820255037,1.502258795899268e-07,32.04851267240253,1.0,11,10,200,0.0,0.0,200,0.17330885539653315
27,-513.5535820255038,2.5972385557423005e-08,32.04851266540714,1.0,11,10,200,0.0,0.0,200,0.5006363640960839
28,-513.5535820255039,1.2601293451313602e-08,32.04851266564763,0.03125,11,10,200,0.0,0.0,200,0.45742762357979855
29,-513.5535820255042,1.2286973040319246e-08,32.048512665638846,3.0517578125e-05,11,10,200,0.0,0.0,200,0.17190315710774423
30,-513.5535820255042,1.2286608830359476e-08,32.04851266563883,1.0,11,10,200,0.0,0.0,200,0.06309228070900477
31,-513.5535820255042,7.699193624914824e-10,32.04851266518431,0.0,11,10,0,0.0,0.0,0,0.0
