k,f,grad_norm,alpha,rk_residual
0,0.0,9.503073235266042,1.0,0.5803484981158861
1,-31.305845663937273,5.262766343564503,1.0,0.615581629080326
2,-40.49860752969116,3.0514235785035595,1.0,0.6722678603126725
3,-43.17509768392239,1.9895239498395276,1.0,0.7366626604382679
4,-44.37696084667516,1.2467875606852703,1.0,0.7331038458900825
5,-44.83942605288168,0.7934411188402549,1.0,0.7884473882565267
6,-45.00477571036358,0.546671285237009,1.0,0.8327320952524586
7,-45.07336778567501,0.4020762906212891,1.0,0.7386864762476583
8,-45.115357571968985,0.2787216728061224,1.0,0.7949569148364586
9,-45.13416825200471,0.20016096227883903,1.0,0.7326822428051363
10,-45.144867289353776,0.13662480053880255,1.0,0.7621233440969063
11,-45.14941643960822,0.0978163361272449,1.0,0.7586463154583669
12,-45.15185506968792,0.06848923604467702,1.0,0.6636564492453971
13,-45.15335572260612,0.04110315824328685,1.0,0.7199217895954957
14,-45.15385607661381,0.026244267986739372,1.0,0.70451222210455
15,-45.15405203894419,0.017228956482236737,1.0,0.7297394687882428
16,-45.154142642906876,0.01075309332694803,1.0,0.9360603628335473
17,-45.15416115906113,0.00886547841704171,1.0,0.6608020165024869
18,-45.15418682950618,0.00522071043630353,1.0,0.8329330158566861
19,-45.15419293128741,0.003879723572985996,1.0,0.7910462461360065
20,-45.15419664796502,0.002760235456355425,1.0,0.807818995964392
21,-45.15419842442003,0.0020164299558849594,1.0,0.7067299345654425
22,-45.15419962433012,0.0012908019057068464,1.0,0.7462042140951693
23,-45.15420005101669,0.0009015522483684835,1.0,0.6469448898799385
24,-45.15420030971468,0.0005435075405618388,1.0,0.6807818502243964
25,-45.15420039785079,0.00034514953617719184,1.0,0.7156496590072589
26,-45.15420043358921,0.00021829195850654889,1.0,0.7041042299298611
27,-45.15420044745227,0.00014115703324516638,1.0,0.8439814979847547
28,-45.15420045208604,0.00010323634773805081,1.0,0.7075495102335914
29,-45.15420045506536,6.854992048014864e-05,1.0,0.6592733456896419
30,-45.15420045648609,4.3100888783283025e-05,1.0,0.7789110603458086
31,-45.15420045692914,3.11695097584601e-05,1.0,0.72033645015212
32,-45.15420045721469,2.001118640352297e-05,1.0,0.7847204940872926
33,-45.15420045731489,1.414307875073572e-05,1.0,0.7611977997271562
34,-45.15420045736943,9.537093457983215e-06,1.0,0.7942190865488895
35,-45.154200457393486,6.545468977880627e-06,1.0,0.8547853257544491
36,-45.154200457403086,4.868704252309621e-06,1.0,0.7527495353925489
37,-45.15420045740928,3.353900601197707e-06,1.0,0.6761499930749268
38,-45.15420045741277,2.079735537623361e-06,1.0,0.6791245212863694
39,-45.154200457414056,1.3102822346794866e-06,1.0,0.8004652230597815
40,-45.154200457414476,9.47245139032231e-07,1.0,0.7452482439751315
41,-45.15420045741471,6.52400735742677e-07,1.0,0.6593248968211982
42,-45.15420045741486,3.779130401757508e-07,1.0,0.7797436486542806
43,-45.15420045741488,2.6093494133905784e-07,1.0,0.7974538530471552
44,-45.15420045741489,1.850897426866498e-07,1.0,0.6687344957913782
45,-45.154200457414895,1.083219099649637e-07,1.0,0.7770183610740893
46,-45.15420045741492,7.559960774735112e-08,0.0625,0.7050812902757182
47,-45.15420045741493,7.300693921112038e-08,0.000244140625,0.47415252717969925
48,-45.15420045741493,7.299265284808649e-08,5.960464477539063e-08,0.26548641166260384
49,-45.15420045741493,7.299264874965607e-08,1.4901161193847656e-08,0.16590813980373298
50,-45.15420045741493,7.29926477269921e-08,1.4901161193847656e-08,0.106354059507386
51,-45.15420045741493,7.299264672112588e-08,1.52587890625e-05,0.05218968809319735
52,-45.15420045741493,7.299153570695383e-08,0.25,0.02960919021790968
53,-45.15420045741494,5.476019966286167e-08,1.4901161193847656e-08,0.024309562933395715
54,-45.15420045741494,5.4760198926608164e-08,3.725290298461914e-09,0.014114339623955786
55,-45.15420045741494,5.4760198861935e-08,3.725290298461914e-09,0.009188457525905533
56,-45.15420045741494,5.476019879715238e-08,3.725290298461914e-09,0.005425959723471356
57,-45.15420045741494,5.4760198732479224e-08,0.015625,0.002852648704656767
58,-45.154200457414944,5.390457684898956e-08,7.450580596923828e-09,0.0017420612210022055
59,-45.154200457414944,5.390457654606405e-08,7.450580596923828e-09,0.0009759283904699416
60,-45.154200457414944,5.390457630445038e-08,7.450580596923828e-09,0.0006300927421410518
61,-45.154200457414944,5.3904576062836705e-08,0.015625,0.00037775104083506564
62,-45.154200457414944,5.3062317155556496e-08,2.384185791015625e-07,0.00037878474750357495
63,-45.15420045741495,5.306230445147874e-08,2.9802322387695312e-08,0.00021732900501829984
64,-45.15420045741495,5.306230289594484e-08,7.450580596923828e-09,0.00014486904588152552
65,-45.15420045741495,5.306230265450791e-08,7.450580596923828e-09,7.642434547959495e-05
66,-45.15420045741495,5.306230241307098e-08,3.725290298461914e-09,3.784345233563512e-05
67,-45.15420045741495,5.306230234839777e-08,3.725290298461914e-09,2.1759551233016297e-05
68,-45.15420045741495,5.306230228372456e-08,3.725290298461914e-09,1.230756015603552e-05
69,-45.15420045741495,5.306230221905135e-08,3.725290298461914e-09,7.4619778981974145e-06
70,-45.15420045741495,5.306230215437813e-08,3.725290298461914e-09,4.472028179619418e-06
71,-45.15420045741495,5.3062302089704924e-08,3.725290298461914e-09,3.0103118906864e-06
72,-45.15420045741495,5.306230202503171e-08,3.725290298461914e-09,1.9210652198647544e-06
73,-45.15420045741495,5.30623019603585e-08,3.725290298461914e-09,1.1079175716535902e-06
74,-45.15420045741495,5.306230189568529e-08,3.725290298461914e-09,7.287765509172767e-07
75,-45.15420045741495,5.306230183101208e-08,3.725290298461914e-09,4.2943037044043714e-07
76,-45.15420045741495,5.306230176633887e-08,1.862645149230957e-09,2.592306281981908e-07
77,-45.15420045741495,5.306230174705672e-08,1.862645149230957e-09,1.6558814842075527e-07
78,-45.15420045741495,5.3062301727774575e-08,1.862645149230957e-09,9.737972724325948e-08
79,-45.15420045741495,5.306230170849243e-08,1.862645149230957e-09,5.668201030744774e-08
80,-45.15420045741495,5.3062301689210297e-08,1.862645149230957e-09,3.074525112067085e-08
81,-45.15420045741495,5.306230166992815e-08,1.862645149230957e-09,1.9217888406137893e-08
82,-45.15420045741495,5.3062301650646005e-08,1.862645149230957e-09,1.1234026478981999e-08
83,-45.15420045741495,5.306230163136386e-08,1.862645149230957e-09,7.67805197423764e-09
84,-45.15420045741495,5.306230161208172e-08,1.862645149230957e-09,4.097527249881438e-09
85,-45.15420045741495,5.306230159279957e-08,1.862645149230957e-09,2.2450657619694985e-09
86,-45.15420045741495,5.306230157351743e-08,1.862645149230957e-09,1.5114902552402254e-09
87,-45.15420045741495,5.3062301554235285e-08,1.862645149230957e-09,8.829112892961269e-10
88,-45.15420045741495,5.306230153495314e-08,1.862645149230957e-09,4.85600497691936e-10
89,-45.15420045741495,5.3062301515670994e-08,1.862645149230957e-09,2.823054440108495e-10
90,-45.15420045741495,5.306230149638886e-08,1.862645149230957e-09,1.7314287642069128e-10
91,-45.15420045741495,5.3062301477106715e-08,1.862645149230957e-09,1.0158950345295922e-10
92,-45.15420045741495,5.306230145782457e-08,1.862645149230957e-09,6.034382495011364e-11
