k,f,grad_norm,t_k,rk_residual
0,0.0,32.048512665192554,1.0,0.7292499961420921
1,-7.597019068362483,23.82843830846932,1.0,0.7892475176121679
2,-11.879275633751826,18.88284491167373,1.0,0.8142469910343868
3,-15.070051090380266,15.885747079038111,1.0,0.8239345963848986
4,-17.275972644320888,13.541916083607324,1.0,0.7837134082387276
5,-18.80112363961903,10.951427793408728,1.0,0.8009253901162383
6,-19.836180004516894,9.088520893751088,1.0,0.8487595360383642
7,-20.52722517090294,8.05096135426019,1.0,0.8259057726660839
8,-21.105044193158584,7.148636761279255,1.0,0.8109729582150582
9,-21.582114899125063,6.188008125432137,1.0,0.8401886168173558
10,-21.936575970288327,5.602549264819117,1.0,0.851519437942996
11,-22.234309646530253,5.214702606429458,1.0,0.8780232764955176
12,-22.48998736225569,4.9782573240280135,1.0,0.8349410383751793
13,-22.714243117119956,4.472776270077559,1.0,0.836885135997917
14,-22.9131899617249,4.156682394747427,1.0,0.852981427435277
15,-23.06488179859467,3.8192680411380455,1.0,0.8451768926312164
16,-23.1988724370236,3.466159868095769,1.0,0.8926919573746194
17,-23.310635305703745,3.3916439656956827,1.0,0.8603596198645821
18,-23.4150365167916,3.156456836404455,1.0,0.8377697864745192
19,-23.512978253605304,2.8645100234912313,1.0,0.8444940669828686
20,-23.590407292283928,2.592835775006521,1.0,0.9040662122361109
21,-23.653593504342517,2.508686847658192,1.0,0.8768638426958387
22,-23.711994924461212,2.378914910363109,1.0,0.8598419990915506
23,-23.768367211392714,2.24434849058561,1.0,0.8426116509462648
24,-23.81720323419606,2.0870768645254762,1.0,0.8921779787063285
25,-23.857446786638583,2.0254755346632822,1.0,0.8372079059604569
26,-23.89532748066396,1.8417643901992367,1.0,0.838452343631815
27,-23.93038489067227,1.7130327167814652,1.0,0.8759949642761183
28,-23.958293602959312,1.634499468879941,1.0,0.8315575917153571
29,-23.985602012600808,1.4961337533125636,1.0,0.8522762348787535
30,-24.00803241471601,1.4167725296595188,1.0,0.8423354118287967
31,-24.02767163034613,1.3234386035440944,1.0,0.8442846332663089
32,-24.04475674580096,1.2201997114755083,1.0,0.8896953307742838
33,-24.060461479679805,1.2194685604717848,1.0,0.8245423638819588
34,-24.07324072406807,1.0690869021298917,1.0,0.856392732520266
35,-24.084891601037572,1.0082490028154456,1.0,0.8770133148045971
36,-24.09428131714277,0.9614664427018438,1.0,0.8640300259296936
37,-24.103173061861497,0.9084009081188154,1.0,0.8581844260346606
38,-24.110649664572485,0.830985690117739,1.0,0.8857700413937474
39,-24.118467254096956,0.8399661596425305,1.0,0.8321225394493088
40,-24.125137682033465,0.760717914002589,1.0,0.8524277253465011
41,-24.131329107882152,0.7278769983113131,1.0,0.8363641908579245
42,-24.136248673701527,0.6630344322706654,1.0,0.8521813730014757
43,-24.140560247872866,0.6200650036537144,1.0,0.8659465581552019
44,-24.14444300002468,0.5999979101845593,1.0,0.8423070116958515
45,-24.147725463690033,0.5444953143865424,1.0,0.9028057267940387
46,-24.15066898612582,0.5493220556862921,1.0,0.8641259672167118
47,-24.153184132283087,0.5041366616599147,1.0,0.8658720019598519
48,-24.15573904161714,0.48451219050907407,1.0,0.8563036392616418
49,-24.15783396263768,0.4502221266108992,1.0,0.8687155358756061
50,-24.159697137738803,0.42713199824655257,1.0,0.8722401275394488
51,-24.161579960741225,0.42174462112980404,1.0,0.836424981941943
52,-24.163241422221773,0.386880580439369,1.0,0.8629243711375555
53,-24.164679132648956,0.3665853205647501,1.0,0.8973512617005833
54,-24.166006441412183,0.3609581789620599,1.0,0.8635761976641677
55,-24.16719335538643,0.33855972726883743,1.0,0.878147969661441
56,-24.168378131250584,0.33534803905144617,1.0,0.8564782845699874
57,-24.1695485038086,0.32573740487691427,1.0,0.8402699173165685
58,-24.17045747135591,0.2963220142129468,1.0,0.8346698348348915
59,-24.171282749796752,0.26655525165672617,1.0,0.9209402885448786
60,-24.172004638137615,0.27122652745600967,1.0,0.859998558294958
61,-24.172665979148867,0.25148000726938297,1.0,0.8662690149578687
62,-24.173273767407487,0.2397587381155097,1.0,0.8682586310067575
63,-24.173815577585504,0.22611933906454654,1.0,0.8621504497334416
64,-24.174334739728096,0.21566273667238955,1.0,0.8997678684391173
65,-24.17478524131093,0.2122774099533904,1.0,0.8642400517114905
66,-24.17522919431167,0.20068454292458543,1.0,0.8838141201252888
67,-24.175603196902316,0.1933739310609248,1.0,0.8597530815667911
68,-24.175943523730666,0.1778267409032796,1.0,0.8855483626336536
69,-24.17627391494655,0.17358127825301123,1.0,0.8770358125560453
70,-24.176587356569293,0.17015789687234434,1.0,0.8489648471984341
71,-24.176848549446934,0.1565153378192935,1.0,0.8708451173262406
72,-24.177078288765767,0.14866803875475207,1.0,0.8674105913602332
73,-24.177288088815462,0.14206167046550666,1.0,0.8580506617174619
74,-24.177481230734898,0.13316190351133014,1.0,0.8926753439329795
75,-24.177646847552506,0.12874920322559535,1.0,0.8524859523786047
76,-24.17783398071899,0.12508314585948838,1.0,0.8726699426293296
77,-24.17798490713238,0.11857693874555132,1.0,0.8864112861935695
78,-24.17811557488083,0.11390518019752607,1.0,0.8479293367423776
79,-24.17823953353273,0.10569793698569119,1.0,0.8829491181541705
80,-24.17834498526807,0.10069807685824624,1.0,0.8713028156916719
81,-24.178443059331194,0.09658310258240868,1.0,0.8520026592493795
82,-24.178525241015965,0.08941614557663333,1.0,0.8900890485643951
83,-24.178599561626314,0.08737916924463575,1.0,0.8888501192916242
84,-24.178669148107282,0.08579959936770608,1.0,0.8320214211914189
85,-24.178738248414653,0.07793525975077546,1.0,0.8871502018863109
86,-24.17879762228876,0.07731595014323697,1.0,0.8683568745924412
87,-24.17885486053957,0.07373559806007278,1.0,0.8653558281815938
88,-24.178904304522856,0.06899844231822003,1.0,0.863638792895114
89,-24.17895014487642,0.06574640907829495,1.0,0.8690852431780806
90,-24.178992488715913,0.0633767664421406,1.0,0.8821427677879966
91,-24.179031265942903,0.06121391942864717,1.0,0.873432977199874
92,-24.179067774171877,0.05814437269751207,1.0,0.8817326721124856
93,-24.17910141220794,0.056614155611188786,1.0,0.8579573315308161
94,-24.179132696974907,0.054296713482890425,1.0,0.8344100300691708
95,-24.17915877748157,0.04970438949392747,1.0,0.8766507460478582
96,-24.179183213035657,0.0482220478262822,1.0,0.8576161160457155
97,-24.179206488328585,0.04635457070540295,1.0,0.8589402288097782
98,-24.179227607029116,0.04466923257141413,1.0,0.8576895117473008
99,-24.17924630291626,0.04190043666304789,1.0,0.8695225128937661
100,-24.179263207593376,0.040505907110739134,1.0,0.8417606516365695
101,-24.179278560842455,0.037124337300219086,1.0,0.9200286333399912
102,-24.179293229671455,0.038651981328933854,1.0,0.8489410937363085
103,-24.179306783164666,0.03581719146498445,1.0,0.8868998466367485
104,-24.179319827888506,0.03531315214670959,1.0,0.8751002748487025
105,-24.179331270608113,0.03346586849435496,1.0,0.9161384827479221
106,-24.17934129726713,0.0335129033367462,1.0,0.8460200229255277
107,-24.179351657682137,0.03075559926174069,1.0,0.9006609914824407
108,-24.179361233593646,0.03064093143370743,1.0,0.8761764459033365
109,-24.179370247816216,0.029300000152230003,1.0,0.8821571953626094
110,-24.17937909803837,0.028997262167025195,1.0,0.8536887154140635
111,-24.179385964334635,0.0265068317047233,1.0,0.8603714289356142
112,-24.17939285463778,0.024983963687724514,1.0,0.8832975653950417
113,-24.179398725264885,0.024210297254531984,1.0,0.8501828978180135
114,-24.179404330471797,0.02246216451182278,1.0,0.8881036866667449
115,-24.179408963605052,0.02145088562847218,1.0,0.9032996202524496
116,-24.17941366656183,0.021393525903030966,1.0,0.8892048212650786
117,-24.179418268795576,0.02082664984828942,1.0,0.8777187898183115
118,-24.179422212437263,0.01979353390637751,1.0,0.8329566734814972
119,-24.179426093867523,0.018396160684369996,1.0,0.8456140484102175
120,-24.179429400588916,0.017196531825453644,1.0,0.8959944389040343
121,-24.17943215176354,0.016934222123720383,1.0,0.8300819591879858
122,-24.179434977936932,0.015723892745161647,1.0,0.8611446727014308
123,-24.179437420906982,0.015242640278575664,1.0,0.8637773472495133
124,-24.179439608419422,0.014540925571014583,1.0,0.871372702145073
125,-24.17944176040998,0.014051226886576047,1.0,0.8725496559254471
126,-24.17944374296286,0.013630904589804317,1.0,0.8890420168377211
127,-24.179445422085756,0.013077011846804943,1.0,0.8889119580938323
128,-24.17944725410378,0.013022258944093838,1.0,0.8529868530023731
129,-24.17944879004497,0.012055280240769994,1.0,0.8549435698393028
130,-24.179450177430134,0.011261647640013221,1.0,0.8760403524725843
131,-24.179451446001934,0.010945847381753939,1.0,0.8440029380563318
132,-24.179452657811332,0.010256756063307376,1.0,0.9031918949148742
133,-24.179453684803594,0.010246849807409966,1.0,0.8791170429316757
134,-24.179454618602016,0.009745187690535418,1.0,0.8884688225339042
135,-24.179455478058596,0.009498021064419031,1.0,0.8562018297349656
136,-24.179456353776256,0.008972613859383038,1.0,0.8779037238891503
137,-24.179457191827417,0.008803026419704178,1.0,0.8507715814855068
138,-24.17945796039252,0.008380398183979575,1.0,0.8659078590662251
139,-24.17945865760122,0.008018514707297144,1.0,0.8799721240581181
140,-24.17945924440792,0.0076308012658147985,1.0,0.9080219040476187
141,-24.1794598273357,0.007706822660841954,1.0,0.840617507830555
142,-24.179460416820216,0.007172063088715851,1.0,0.8744252325358812
143,-24.179460930021715,0.006981833004449465,1.0,0.8408977253724957
144,-24.179461372214202,0.006334288938580199,1.0,0.8714619539123196
145,-24.17946179450063,0.006161255922651158,1.0,0.8554289492517317
146,-24.179462184547113,0.005991538984488559,1.0,0.8563660163984248
147,-24.17946251013235,0.005582396316940346,1.0,0.8705898976168871
148,-24.17946283322714,0.005414520926494848,1.0,0.8636242319747988
149,-24.179463137634148,0.005187663489106756,1.0,0.881563227550075
150,-24.179463397780736,0.00509485782473067,1.0,0.8510063018369772
151,-24.17946364057771,0.004767808394592425,1.0,0.8387428706275147
152,-24.179463861692273,0.004373403758099223,1.0,0.8884715548688712
153,-24.179464049797488,0.0043442614469022525,1.0,0.8569447918639861
154,-24.179464227458617,0.004072454880121225,1.0,0.8802849582191261
155,-24.179464408147407,0.004080173055432442,1.0,0.8579615011738281
156,-24.179464573378027,0.0038591995420093326,1.0,0.8642433263684021
157,-24.17946472140398,0.003717179749215059,1.0,0.8680118260744194
158,-24.17946485845288,0.0035780631448140495,1.0,0.8791582330166889
159,-24.179464979377702,0.0034236721376668788,1.0,0.8656997259322006
160,-24.179465091807625,0.0032780752525987675,1.0,0.8551209580172068
161,-24.179465192032705,0.0030900465231953624,1.0,0.8669700746325942
162,-24.1794652800998,0.0029491546005464934,1.0,0.858164370674859
163,-24.17946536173202,0.002805209682274441,1.0,0.8509039543853529
164,-24.17946544265926,0.0027108882336652814,1.0,0.8536390593085658
165,-24.179465516433385,0.0025769510577004777,1.0,0.8753900781493104
166,-24.179465586354272,0.002550610556266774,1.0,0.8523794347376621
167,-24.179465650365124,0.002397604435020439,1.0,0.891626738865813
168,-24.179465709382626,0.0024360338299368556,1.0,0.8419837825503282
169,-24.179465761236013,0.0022289980232197237,1.0,0.8757532270858824
170,-24.179465811703395,0.0021737696480711864,1.0,0.8660061520735775
171,-24.179465859579384,0.00213306214342217,1.0,0.8452395654856856
172,-24.179465898989886,0.001936518941646385,1.0,0.9101835153885142
173,-24.17946593768924,0.0019702905767375774,1.0,0.8261673473381188
174,-24.179465976155523,0.0018228445258757137,1.0,0.8826191872201707
175,-24.179466009856224,0.001796008168653763,1.0,0.8733731638162769
176,-24.17946604245713,0.0017345975843705709,1.0,0.8744089738277362
177,-24.17946607028536,0.001634634952140598,1.0,0.8871419235514642
178,-24.179466096752215,0.0016091368508630913,1.0,0.8737491416245263
179,-24.179466119440452,0.0015290473806339232,1.0,0.8609110806596687
180,-24.179466141571194,0.0014339605435126175,1.0,0.8808971722451647
181,-24.179466162037812,0.0013737155179774198,1.0,0.902484128986708
182,-24.179466181771552,0.0013655952139626079,1.0,0.8641466913858721
183,-24.17946620004617,0.0013032991705350617,1.0,0.8661080985457313
184,-24.179466215983616,0.001231207646325805,1.0,0.8893729661366978
185,-24.179466230081417,0.0012019321821327218,1.0,0.8606306826383674
186,-24.17946624448766,0.0011446809273526462,1.0,0.861103280253791
187,-24.179466257904632,0.0010936916181656462,1.0,0.8541565200947895
188,-24.17946627080609,0.0010615790678960375,1.0,0.8714388541321328
189,-24.179466281529113,0.0010166669011056144,1.0,0.8415024470566724
190,-24.179466292043426,0.0009456598410271177,1.0,0.9104103317995964
191,-24.17946630094674,0.000947344876629653,1.0,0.8487913513385317
192,-24.179466309013474,0.0008717420272836673,1.0,0.8711836128041816
193,-24.179466316898658,0.0008495642758406302,1.0,0.8717576831532835
194,-24.179466323916664,0.0008231104862091522,1.0,0.8623052529758886
195,-24.179466330367035,0.0007762528975433343,1.0,0.853764504650216
196,-24.17946633623761,0.0007326700960932034,1.0,0.868607973840836
197,-24.179466341571192,0.0007080564678985032,1.0,0.8722452377148824
198,-24.179466346568518,0.0006803699752946987,1.0,0.8863959757147183
199,-24.17946635114651,0.0006715240203863082,1.0,0.8618364415375717
200,-24.17946635544284,0.0006373126954808513,1.0,0.8554301592262828
201,-24.17946635920326,0.0005925550249114334,1.0,0.8834580760090295
202,-24.17946636278554,0.0005800021798208323,1.0,0.8629583772318766
203,-24.179466365920664,0.0005516235287764808,1.0,0.8536210357180591
204,-24.179466368867264,0.0005198533103642373,1.0,0.856307592461262
205,-24.179466371507743,0.0004897679466914518,1.0,0.9019518670101823
206,-24.179466373814552,0.00048789326414722605,1.0,0.8544074786996073
207,-24.17946637614298,0.00045660224433793315,1.0,0.8695455505516678
208,-24.179466378269346,0.0004419108971009987,1.0,0.871884229634607
209,-24.17946638025087,0.0004306614442801987,1.0,0.8348315613834636
210,-24.179466382074782,0.000396306351909161,1.0,0.8858716222145951
211,-24.179466383574677,0.00038766773450241035,1.0,0.8679751441273428
212,-24.179466385033624,0.00036910591355005553,1.0,0.9001837012335712
213,-24.17946638646195,0.00036836990670034735,1.0,0.8599109354023409
214,-24.179466387844407,0.0003551026363996271,1.0,0.8544264182991119
215,-24.179466389067255,0.00033796996309020977,1.0,0.8623819889086598
216,-24.179466390247143,0.0003281890227321849,1.0,0.856012830838624
217,-24.179466391228708,0.0003100123711992457,1.0,0.853472992481407
218,-24.179466392112946,0.00029085359817565635,1.0,0.8701587034963764
219,-24.179466392916765,0.00028161133233512245,1.0,0.875335196400084
220,-24.179466393645043,0.0002679137211108563,1.0,0.8772948600068092
221,-24.17946639436116,0.00025857523049141766,1.0,0.8827845531406882
222,-24.179466395010294,0.00025077073314330376,1.0,0.8458710037777134
223,-24.17946639561045,0.00023334473949526577,1.0,0.8901356191731081
224,-24.179466396133787,0.00022840240456698955,1.0,0.8847028850200979
225,-24.179466396633803,0.00022328012564441424,1.0,0.879561051373088
226,-24.179466397105855,0.00021699083754277043,1.0,0.873916659823146
227,-24.179466397560848,0.0002102159171964576,1.0,0.8341730858096558
228,-24.179466397983234,0.00019197335210032086,1.0,0.8904910165388236
229,-24.179466398375833,0.00019229421679518117,1.0,0.8619972392716587
230,-24.17946639869282,0.00017678583923416943,1.0,0.8653316328173037
231,-24.179466399004426,0.00016989063205652294,1.0,0.8575962741165558
232,-24.179466399281683,0.00015917443033737835,1.0,0.8883812862949517
233,-24.179466399523882,0.00015552745734772523,1.0,0.8778183320251056
234,-24.179466399756222,0.00015170472674926866,1.0,0.8587000764635123
235,-24.1794663999789,0.00014513015081587125,1.0,0.8371613987915043
236,-24.179466400183163,0.00013490931657720307,1.0,0.9079397728147074
237,-24.179466400384403,0.0001399329636740296,1.0,0.8321126151612475
238,-24.179466400593963,0.00013251465054841987,1.0,0.861682616817473
239,-24.179466400754844,0.00012508094626505784,1.0,0.8908530798309668
240,-24.179466400899344,0.00012222779471571222,1.0,0.862789929838827
241,-24.179466401037725,0.00011447134095076457,1.0,0.8504591304094717
242,-24.179466401161836,0.00010634012758839902,1.0,0.9165943951642571
243,-24.17946640126536,0.00010548826702492698,1.0,0.8700926344269513
244,-24.179466401370878,0.00010254123840719142,1.0,0.8637788663655602
245,-24.17946640147247,9.799411257472231e-05,1.0,0.8824964604343088
246,-24.179466401571034,9.754170793212498e-05,1.0,0.8692718667616072
247,-24.17946640165968,9.261379582913781e-05,1.0,0.8661137139602698
248,-24.179466401733883,8.621140960385884e-05,1.0,0.8804549014476384
249,-24.179466401805527,8.446111171259603e-05,1.0,0.8729124001614134
250,-24.17946640186977,7.945229315281834e-05,1.0,0.8765608887490456
251,-24.179466401934146,7.704533576702637e-05,1.0,0.915363193198261
252,-24.17946640198639,7.598923875329172e-05,1.0,0.8491184565163445
253,-24.179466402045847,7.239775612909933e-05,1.0,0.8714513532961983
254,-24.179466402095777,6.926888442495776e-05,1.0,0.9039601734511734
255,-24.17946640214122,6.922023485495997e-05,1.0,0.8322472065038528
256,-24.17946640218993,6.389492299855139e-05,1.0,0.8906991841377712
257,-24.179466402229025,6.262111342030614e-05,1.0,0.871456502425522
258,-24.1794664022677,6.09844789015778e-05,1.0,0.8239223514834088
259,-24.179466402301323,5.464653037556921e-05,1.0,0.8945128573515395
260,-24.17946640232985,5.34174624690619e-05,1.0,0.8924698790421781
261,-24.179466402356603,5.248174047187807e-05,1.0,0.8734090161490204
262,-24.179466402380065,4.878323568496419e-05,1.0,0.9046503418873636
263,-24.179466402402646,4.84221471543598e-05,1.0,0.8550069435161132
264,-24.17946640242421,4.513607308566132e-05,1.0,0.8801876984217574
265,-24.179466402444532,4.3970996841243394e-05,1.0,0.8783263160486708
266,-24.179466402464303,4.3600951672639554e-05,1.0,0.863437197432936
267,-24.179466402482404,4.1965918692022835e-05,1.0,0.8515102435290436
268,-24.17946640249912,3.954953573713113e-05,1.0,0.8750915799369314
269,-24.17946640251436,3.8004815843567587e-05,1.0,0.8621981278964024
270,-24.179466402528128,3.587668367145278e-05,1.0,0.881364928043996
271,-24.1794664025404,3.472996958272054e-05,1.0,0.8896736202895114
272,-24.179466402552297,3.419625336942619e-05,1.0,0.8748657698420191
273,-24.179466402562568,3.247387667988463e-05,1.0,0.8717088254135089
274,-24.17946640257209,3.0663186313933236e-05,1.0,0.8927978796395348
275,-24.179466402581618,3.086266924020197e-05,1.0,0.8189413188510295
276,-24.17946640259047,2.80216095960457e-05,1.0,0.9078214449410886
277,-24.179466402598358,2.8133815704876972e-05,1.0,0.8741500908694197
278,-24.179466402606206,2.7270790414506678e-05,1.0,0.850610968309349
279,-24.179466402613322,2.5887612317480026e-05,1.0,0.8533985995058999
280,-24.179466402619983,2.4545621000912724e-05,1.0,0.8844111090807759
281,-24.179466402625767,2.373511477960552e-05,1.0,0.8599640073934479
282,-24.17946640263145,2.2850605803140745e-05,1.0,0.8982390453058303
283,-24.179466402636614,2.2594308163399273e-05,1.0,0.8974676864622978
284,-24.179466402641246,2.1888958245630856e-05,1.0,0.8689206262129978
285,-24.17946640264614,2.1540757041747768e-05,1.0,0.8297641660267088
286,-24.179466402650508,1.9702653815840405e-05,1.0,0.8673147526907486
287,-24.17946640265434,1.9210685195532238e-05,1.0,0.8630940923485109
288,-24.1794664026583,1.8682900601842388e-05,1.0,0.8716362039023814
289,-24.179466402661614,1.77596840468455e-05,1.0,0.9054875323133329
290,-24.179466402664744,1.765730054428202e-05,1.0,0.8830581966221949
291,-24.17946640266767,1.7087684262074134e-05,1.0,0.8437580722756135
292,-24.179466402670403,1.588105917548858e-05,1.0,0.8638294872230883
293,-24.179466402672897,1.5401051101024315e-05,1.0,0.8598203753495153
294,-24.179466402675107,1.4654239668289178e-05,1.0,0.8529990570026067
295,-24.179466402677313,1.405423130333141e-05,1.0,0.8642993942306941
296,-24.179466402679296,1.3472178925970161e-05,1.0,0.8726371130893578
297,-24.179466402681097,1.3043500494947407e-05,1.0,0.8860203409365278
298,-24.179466402682657,1.2768540262901506e-05,1.0,0.8162782685064409
299,-24.179466402684287,1.1562963356464125e-05,1.0,0.9019169842162037
300,-24.179466402685655,1.1512008908377366e-05,1.0,0.856992626531975
301,-24.179466402686966,1.096170125633825e-05,1.0,0.871110009887888
302,-24.17946640268817,1.0464472967529789e-05,1.0,0.868611155270902
303,-24.17946640268935,1.0344451655934244e-05,1.0,0.8610138991339376
304,-24.17946640269032,9.639076972195569e-06,1.0,0.8762180243133857
305,-24.179466402691222,9.295379183830092e-06,1.0,0.8790926584459556
306,-24.17946640269206,8.91683736925979e-06,1.0,0.8724378854898717
307,-24.179466402692896,8.846096387898114e-06,1.0,0.8779049427710582
308,-24.17946640269366,8.568246784788714e-06,1.0,0.8372027247609374
309,-24.179466402694363,7.9020341617518e-06,1.0,0.8637752168265231
310,-24.179466402694942,7.549516801854516e-06,1.0,0.8585450796797423
311,-24.179466402695542,7.270172473320896e-06,1.0,0.8757868192348888
312,-24.179466402696026,6.9966925314888324e-06,1.0,0.8433196979527795
313,-24.17946640269653,6.530861760546252e-06,1.0,0.9089342915161454
314,-24.17946640269696,6.512027299285423e-06,1.0,0.8873205370853197
315,-24.179466402697365,6.453833940226013e-06,1.0,0.8215683036902393
316,-24.179466402697802,5.906583648683807e-06,1.0,0.8536558478971134
