k,f,grad_norm,t_k,rk_residual
0,0.0,3.204851266519255e-05,1.0,0.8724375081515815
1,-1.4376799449961437e-05,2.7957689664905778e-05,1.0,0.9043453203034223
2,-2.428317825053233e-05,2.4985140516160562e-05,1.0,0.8841038641915908
3,-3.283192218558154e-05,2.185466374942755e-05,1.0,0.926690041495375
4,-3.8753692514225984e-05,1.9919918826980884e-05,1.0,0.8843138504844744
5,-4.4081660071762785e-05,1.7513781017629452e-05,1.0,0.9045250427765262
6,-4.876696810730991e-05,1.5726022826557472e-05,1.0,0.9243486063568993
7,-5.2208489302942516e-05,1.4339052160669516e-05,1.0,0.9165844720995721
8,-5.499401589736813e-05,1.3030748700659164e-05,1.0,0.9145784174846838
9,-5.735139080634229e-05,1.1791457139733128e-05,1.0,0.8930637660506584
10,-5.935106323702702e-05,1.0468076506244162e-05,1.0,0.9000081595338412
11,-6.087055270989316e-05,9.359892008998525e-06,1.0,0.915015610392119
12,-6.207097429611555e-05,8.601657009435735e-06,1.0,0.8828632875778677
13,-6.326542001601319e-05,7.5957956010903045e-06,1.0,0.939280469057139
14,-6.399459154232475e-05,7.036643114570025e-06,1.0,0.9214800485074373
15,-6.475955395847631e-05,6.50379219373551e-06,1.0,0.9560567690416996
16,-6.531162911654963e-05,6.159960302328103e-06,1.0,0.9065087122113634
17,-6.588479123862315e-05,5.5629786220879446e-06,1.0,0.9363781946804365
18,-6.630347167210828e-05,5.1697926360726475e-06,1.0,0.9173671243743898
19,-6.667269996908754e-05,4.703887695230911e-06,1.0,0.9130516814338506
20,-6.701004772771465e-05,4.3264242533946856e-06,1.0,0.9101351946995592
21,-6.728400584150279e-05,3.920419523445608e-06,1.0,0.950117190800854
22,-6.7504279101065e-05,3.67868960623766e-06,1.0,0.9548196009260211
23,-6.770668388566806e-05,3.513431946344483e-06,1.0,0.9106057189210164
24,-6.788509673040132e-05,3.2111098922185814e-06,1.0,0.9513032893279136
25,-6.801416096262596e-05,3.0450758098617536e-06,1.0,0.9333256510308985
26,-6.81557573391681e-05,2.873557289202203e-06,1.0,0.9266740623005246
27,-6.828821100725593e-05,2.670078119678787e-06,1.0,0.9659199435329334
28,-6.839670810896551e-05,2.5991506725693817e-06,1.0,0.9551227135137413
29,-6.849194309798705e-05,2.4841940917677017e-06,1.0,0.9534972290542413
30,-6.85783876170389e-05,2.3683679780195683e-06,1.0,0.9160247547229278
31,-6.866272572646464e-05,2.143699645503016e-06,1.0,0.9632320734557104
32,-6.872871739236773e-05,2.0617920813601816e-06,1.0,0.9510937811624359
33,-6.878889221994055e-05,1.9505180117863405e-06,1.0,0.9344478060863002
34,-6.884533319413137e-05,1.8245033008229842e-06,1.0,0.9565446994712602
35,-6.888731428028934e-05,1.736829459861442e-06,1.0,0.9451544326604304
36,-6.893047736286723e-05,1.6417612235334414e-06,1.0,0.9369278973920344
37,-6.897016520776596e-05,1.5398190703535484e-06,1.0,0.9524349477944257
38,-6.900416888169944e-05,1.4709814438536867e-06,1.0,0.9466440884720954
39,-6.903345070574069e-05,1.4029054302058895e-06,1.0,0.9537775329380617
40,-6.906201403725047e-05,1.330176439363098e-06,1.0,0.9592039286154187
41,-6.90882143443323e-05,1.2700195983601354e-06,1.0,0.9398372823933628
42,-6.911077802322787e-05,1.2025039380740466e-06,1.0,0.9392285917502255
43,-6.913320535261149e-05,1.1450663119964357e-06,1.0,0.9566029712521374
44,-6.915252722626668e-05,1.102789794202379e-06,1.0,0.9155922646289448
45,-6.91694756489034e-05,1.0049732030069482e-06,1.0,0.957063693162047
46,-6.918536475830499e-05,9.67367650844578e-07,1.0,0.9426427777898662
47,-6.92001701211229e-05,9.179931070059354e-07,1.0,0.9544385645202461
48,-6.921182408215396e-05,8.705685231772989e-07,1.0,0.9211299622205633
49,-6.922235142019704e-05,7.985933913298751e-07,1.0,0.9529222806844236
50,-6.923226669653006e-05,7.50367467234811e-07,1.0,0.9799697432763664
51,-6.92403314194814e-05,7.328302329883493e-07,1.0,0.9552474378971411
52,-6.924785195432269e-05,6.985781802105932e-07,1.0,0.9436051505933991
53,-6.925482785228341e-05,6.617690577741601e-07,1.0,0.9452582587063656
54,-6.926172610049534e-05,6.309020958444163e-07,1.0,0.9616899429376209
55,-6.92683440815012e-05,6.057746565295715e-07,1.0,0.9618595727123601
56,-6.927289476110948e-05,5.749534977829632e-07,1.0,0.9479503533138076
57,-6.927804827343662e-05,5.468651495853539e-07,1.0,0.9497326166245504
58,-6.928233610740179e-05,5.220640394255697e-07,1.0,0.9606784278046111
59,-6.928644757783283e-05,5.044214082875744e-07,1.0,0.9481739973337907
60,-6.929052412316213e-05,4.805032428595828e-07,1.0,0.9464389108455289
61,-6.929360661348769e-05,4.5278913235136e-07,1.0,0.9421979634872696
62,-6.929662670768352e-05,4.254499774766102e-07,1.0,0.9391101647165172
63,-6.929926822659327e-05,3.987914346684799e-07,1.0,0.9670851938637018
64,-6.930188501009698e-05,3.890805963878097e-07,1.0,0.9273932663975579
65,-6.930425917452417e-05,3.645221884528403e-07,1.0,0.9594851580053824
66,-6.930616013626912e-05,3.485175606419192e-07,1.0,0.9584444080507639
67,-6.93079724675554e-05,3.3508921929092796e-07,1.0,0.9682079479254728
68,-6.93096651667504e-05,3.2650944165612306e-07,1.0,0.9290333487301399
69,-6.93113035800001e-05,3.025650895329277e-07,1.0,0.95191722328183
70,-6.931277250107474e-05,2.9156563410062937e-07,1.0,0.927529035339548
71,-6.931419657777184e-05,2.7130220338270653e-07,1.0,0.9477510373068877
72,-6.931526449540699e-05,2.5804417660250926e-07,1.0,0.936867999476656
73,-6.931624786295682e-05,2.427234594919914e-07,1.0,0.9644036759110034
74,-6.9317067444244e-05,2.315486561828572e-07,1.0,0.9512204876352333
75,-6.931790553817786e-05,2.220256906385513e-07,1.0,0.9629041619471691
76,-6.931863961151045e-05,2.1389208106950847e-07,1.0,0.9284937539532487
77,-6.931934523309762e-05,2.0008863521360674e-07,1.0,0.9518806183252378
78,-6.93199480472937e-05,1.9093978657906757e-07,1.0,0.9443384007863079
79,-6.932054997300933e-05,1.804516058734301e-07,1.0,0.97604643215362
80,-6.932101342139802e-05,1.759277244002477e-07,1.0,0.9444036302425499
81,-6.932145376821759e-05,1.6567390773267673e-07,1.0,0.9543801901172875
82,-6.932188945124151e-05,1.5952435577103883e-07,1.0,0.9428092578321783
83,-6.932225635852411e-05,1.503417819921902e-07,1.0,0.9378366984724379
84,-6.932258146524923e-05,1.4227899437028062e-07,1.0,0.9497853885149949
85,-6.932287063908775e-05,1.3480086179048825e-07,1.0,0.9342408091874139
86,-6.932311115314886e-05,1.249282045196269e-07,1.0,0.9668825549842922
87,-6.932335013357961e-05,1.2165463529616185e-07,1.0,0.9526789008360099
88,-6.932357004993473e-05,1.1508707570701456e-07,1.0,0.9587897069120129
89,-6.932377497189171e-05,1.1061384521788048e-07,1.0,0.9570137549394525
90,-6.932394510070223e-05,1.0622402458820205e-07,1.0,0.9375379389255055
91,-6.932410163831448e-05,9.934796236637116e-08,1.0,0.967581834368079
92,-6.932425123572153e-05,9.656992904202843e-08,1.0,0.9612271516390202
93,-6.932439478337358e-05,9.336354892901289e-08,1.0,0.9321752681040189
94,-6.932453339744763e-05,8.718653730902463e-08,1.0,0.9495492013903201
95,-6.932465326339679e-05,8.288642389182998e-08,1.0,0.9581162131203054
96,-6.932475091954148e-05,7.915885761678248e-08,1.0,0.9566750056289176
97,-6.932484164157553e-05,7.594102134039241e-08,1.0,0.9499887928554374
98,-6.932493272764325e-05,7.267982158570556e-08,1.0,0.915535473459064
99,-6.93250122672455e-05,6.649012668055449e-08,1.0,0.9840596974732554
100,-6.932507743465694e-05,6.527909654563175e-08,1.0,0.9416864950063806
101,-6.932514098337401e-05,6.111970252672834e-08,1.0,0.9545506333748437
102,-6.93251998318809e-05,5.844536582502308e-08,1.0,0.9473600268445307
103,-6.932524692911991e-05,5.5130351948815206e-08,1.0,0.9551552003079113
104,-6.932529917182206e-05,5.2910623727100075e-08,1.0,0.963275149365006
105,-6.932534450167578e-05,5.126550370950447e-08,1.0,0.9627398179440135
106,-6.932538108513905e-05,4.95247778222715e-08,1.0,0.9211288179151762
107,-6.93254209086427e-05,4.600756542868942e-08,1.0,0.9528711323502107
108,-6.932545442612087e-05,4.398296151906258e-08,1.0,0.9665638846294569
109,-6.932548375042884e-05,4.231494771998779e-08,1.0,0.9373642102167005
110,-6.932551314760651e-05,3.978594866262123e-08,1.0,0.970866039622954
111,-6.93255333114776e-05,3.847360166650991e-08,1.0,0.954875026684554
112,-6.932555505035465e-05,3.686441002292586e-08,1.0,0.941670081630016
113,-6.932557365820205e-05,3.517952234652397e-08,1.0,0.9425531644520504
114,-6.932559183341864e-05,3.31618175441802e-08,1.0,0.9648667626497022
115,-6.932560731835627e-05,3.1943299254007753e-08,1.0,0.9293797905322229
116,-6.932562222642835e-05,2.9721994647290837e-08,1.0,0.9608647512500514
117,-6.932563515473346e-05,2.8424855299511546e-08,1.0,0.9647290714716071
118,-6.93256450773238e-05,2.7400720829564727e-08,1.0,0.9498648353387615
119,-6.932565540487556e-05,2.6237595158404293e-08,1.0,0.9340365747158179
120,-6.932566438430238e-05,2.431558136681729e-08,1.0,0.9632486369905302
121,-6.932567327620745e-05,2.333758289479332e-08,1.0,0.963309458112984
122,-6.932568096034457e-05,2.2596929887062815e-08,1.0,0.9319271143198614
123,-6.932568930898945e-05,2.140706387035427e-08,1.0,0.9569245913686911
124,-6.932569597959556e-05,2.0662388144739334e-08,1.0,0.9386767984211452
125,-6.932570205666017e-05,1.9336152454954377e-08,1.0,0.9335479413680607
126,-6.932570777412222e-05,1.8128638880515882e-08,1.0,0.9753316146137906
127,-6.932571316426391e-05,1.7816826771784893e-08,1.0,0.927018676715935
128,-6.932571818912946e-05,1.6586030255329446e-08,1.0,0.9474120365949383
129,-6.932572212485903e-05,1.5766457303422608e-08,1.0,0.9558765641254049
130,-6.932572609659724e-05,1.5142628989408643e-08,1.0,0.9501650536925457
131,-6.93257297179159e-05,1.4562630185395105e-08,1.0,0.9284577438641074
132,-6.932573264675116e-05,1.345900096462768e-08,1.0,0.9626394010637496
133,-6.932573555740956e-05,1.2987398656349491e-08,1.0,0.9701183072134824
134,-6.932573804484169e-05,1.2737047066305058e-08,1.0,0.9521792013708004
135,-6.932574073222716e-05,1.233124701944776e-08,1.0,0.9492352833314907
136,-6.932574314730576e-05,1.1838060142131509e-08,1.0,0.9617500531694212
137,-6.932574523462295e-05,1.147312619710114e-08,1.0,0.9423511386097452
138,-6.932574722795523e-05,1.090595768572885e-08,1.0,0.9330358332011895
139,-6.93257489718736e-05,1.0248688952682643e-08,1.0,0.9456316371930509
140,-6.932575041650939e-05,9.652441503644405e-09,1.0,0.9730509217330654
141,-6.932575183595625e-05,9.387459101215738e-09,1.0,0.946304596067638
142,-6.932575325529804e-05,8.88093629154124e-09,1.0,0.9614581669999458
143,-6.932575433039999e-05,8.485667331093114e-09,1.0,0.9337402720423528
144,-6.932575525822317e-05,7.964595920459569e-09,1.0,0.9521802222198995
145,-6.932575629248101e-05,7.6383176000028e-09,1.0,0.9560598412211446
146,-6.932575723377612e-05,7.364575569993362e-09,1.0,0.9459578890854877
147,-6.932575797886013e-05,7.0660628157602395e-09,1.0,0.9450659493830507
148,-6.932575859776181e-05,6.719400186953791e-09,1.0,0.9707277508579818
149,-6.932575928219843e-05,6.5757712684293544e-09,1.0,0.946662721029561
150,-6.932575996312386e-05,6.295948875097016e-09,1.0,0.9451840940891327
151,-6.93257606136238e-05,6.0245564645801934e-09,1.0,0.9371906604154153
152,-6.932576115163367e-05,5.6934448351502415e-09,1.0,0.9513069472419693
153,-6.932576161306033e-05,5.427442946591729e-09,1.0,0.9693118000086235
154,-6.93257620257143e-05,5.296536951837636e-09,1.0,0.9512363505150147
155,-6.932576248287258e-05,5.033424883587945e-09,1.0,0.9626485484822597
156,-6.93257628552609e-05,4.893624827884564e-09,1.0,0.9639640111377544
157,-6.932576321334543e-05,4.741633127907662e-09,1.0,0.9570218625411829
158,-6.93257635361293e-05,4.590372451820262e-09,1.0,0.9268256608593469
159,-6.932576388702962e-05,4.312678640358091e-09,1.0,0.9638581399718317
160,-6.93257641701454e-05,4.2194811565169465e-09,1.0,0.9398567496599298
161,-6.932576442267474e-05,3.9842329016443094e-09,1.0,0.959485916059738
162,-6.93257646815914e-05,3.861453337777237e-09,1.0,0.9716604280990678
163,-6.932576488903573e-05,3.7578872900927e-09,1.0,0.9561557601655031
164,-6.932576506880161e-05,3.5966149294638785e-09,1.0,0.9813203075574881
165,-6.932576525309306e-05,3.5617231489370044e-09,1.0,0.9622244920579677
166,-6.932576545352799e-05,3.4482163972270544e-09,1.0,0.9537461547535168
167,-6.932576562699486e-05,3.3038866245430543e-09,1.0,0.9490687102214918
168,-6.932576579040897e-05,3.147278920539475e-09,1.0,0.9612225448225364
169,-6.932576595085369e-05,3.071235515957216e-09,1.0,0.9364491152984423
170,-6.932576606515049e-05,2.871422717334568e-09,1.0,0.9755860718555461
171,-6.932576617692459e-05,2.8192885610041285e-09,1.0,0.9557128954166572
172,-6.932576629726654e-05,2.702827997214623e-09,1.0,0.9771953167817619
173,-6.932576641354841e-05,2.6908287050189828e-09,1.0,0.9464705807453844
174,-6.932576652289387e-05,2.554731161913928e-09,1.0,0.9676076725411833
175,-6.93257666137077e-05,2.4791777590431142e-09,1.0,0.9550699429794026
176,-6.932576671016028e-05,2.396724048064778e-09,1.0,0.9439213650612265
177,-6.932576679684296e-05,2.295079764121492e-09,1.0,0.9448750206312945
178,-6.932576687455707e-05,2.199604001962e-09,1.0,0.9576902314195369
179,-6.932576694117687e-05,2.1277649899112214e-09,1.0,0.9340554407399808
180,-6.932576701702717e-05,2.0110562193971123e-09,1.0,0.9795540227915769
181,-6.932576707367185e-05,1.9684828108958454e-09,1.0,0.9629236898404859
182,-6.932576712973863e-05,1.913560487237946e-09,1.0,0.9513255168608462
183,-6.932576718363051e-05,1.832344106413391e-09,1.0,0.9464722543237549
184,-6.932576723847066e-05,1.765073736522705e-09,1.0,0.9725265043762112
185,-6.932576729204538e-05,1.7438710799151577e-09,1.0,0.9464893488792937
186,-6.932576733121676e-05,1.6340960193466857e-09,1.0,0.9582531109818849
187,-6.932576737267581e-05,1.585412454020281e-09,1.0,0.9429403717989059
188,-6.932576740602165e-05,1.5053583279409277e-09,1.0,0.9809972724929815
189,-6.932576743871397e-05,1.4777901639809329e-09,1.0,0.9596725204711747
190,-6.932576747165016e-05,1.4272151681681851e-09,1.0,0.9571908320921833
191,-6.932576750312195e-05,1.3710020215870563e-09,1.0,0.9473071474955379
192,-6.932576753195725e-05,1.3142030278516096e-09,1.0,0.9479342058072391
193,-6.932576755629828e-05,1.2532578455441207e-09,1.0,0.9682622653618498
194,-6.932576758150997e-05,1.226678925139544e-09,1.0,0.932979319857691
195,-6.9325767600828e-05,1.1506107792056632e-09,1.0,0.9626318611158557
196,-6.93257676215209e-05,1.119117245407617e-09,1.0,0.9617143963421758
197,-6.932576764300738e-05,1.0956290392733437e-09,1.0,0.9327387464696213
198,-6.932576766153466e-05,1.0330421315841931e-09,1.0,0.9615964406846264
199,-6.932576767574818e-05,9.940299999113342e-10,1.0,0.9945844566362816
200,-6.93257676909629e-05,9.973333257670884e-10,1.0,0.959913146154462
201,-6.932576770373986e-05,9.608898594094249e-10,1.0,0.9669090273905265
202,-6.93257677164555e-05,9.443288998632514e-10,1.0,0.9455113806525609
203,-6.932576773058689e-05,8.986337272298869e-10,1.0,0.9753900580810172
204,-6.932576774265677e-05,8.90507355142072e-10,1.0,0.9387241393794467
205,-6.932576775429622e-05,8.314462661242204e-10,1.0,0.9600939704090383
206,-6.932576776532963e-05,8.097176691888615e-10,1.0,0.9669729939699584
207,-6.932576777473148e-05,7.852763424632467e-10,1.0,0.9394262979223497
208,-6.932576778485332e-05,7.513054509622842e-10,1.0,0.9643253758272872
209,-6.932576779284902e-05,7.307039832584165e-10,1.0,0.9635994870589704
210,-6.932576780068779e-05,7.13604763629677e-10,1.0,0.9567005962360349
211,-6.932576780756981e-05,6.869755129800918e-10,1.0,0.9447350358376698
212,-6.932576781457001e-05,6.574417870840064e-10,1.0,0.9601658105960847
213,-6.932576782048383e-05,6.360809983606055e-10,1.0,0.9456936394548539
214,-6.932576782661493e-05,6.078498737120074e-10,1.0,0.953375199956653
215,-6.932576783265652e-05,5.85190946442975e-10,1.0,0.9674874780675651
216,-6.932576783758909e-05,5.721477309926276e-10,1.0,0.9615074674650627
217,-6.932576784237795e-05,5.583195416853785e-10,1.0,0.9672472500793934
218,-6.932576784689047e-05,5.473997534005734e-10,1.0,0.9587646065303668
219,-6.932576785070198e-05,5.239559981000926e-10,1.0,0.9778771652191433
220,-6.932576785517624e-05,5.164039183717982e-10,1.0,0.9422875421263412
221,-6.932576785913865e-05,4.889896437853048e-10,1.0,0.9556448088892403
222,-6.932576786249042e-05,4.634745625384265e-10,1.0,0.9951690694947051
223,-6.932576786640229e-05,4.700331093987528e-10,1.0,0.9329026426068592
