k,f,grad_norm,t_k,rk_residual
0,253616.0,22968.1264364336,1.0,0.838028716636413
1,186454.5311179256,20312.216756008893,1.0,0.7392030404653681
2,124010.70473753504,15974.846665092073,1.0,0.715988089236809
3,81995.25924062589,12369.842907140755,1.0,0.652303586840454
4,53728.226526212486,9223.447300296728,1.0,0.7190273585159309
5,41824.94665815625,7868.703850766661,0.5,0.830072548792971
6,34149.24745600996,6579.209976073351,0.5,0.8517739172828764
7,28228.018211643164,5448.766465291519,0.5,0.980520213911513
8,25199.100584680105,4870.75200432486,0.25,1.2316718383825012
9,23654.384649640433,4612.735735053394,0.125,1.2171875939989252
10,22527.85226966169,4411.716462325552,0.25,1.606057129130432
11,22005.237564670962,4260.796237623963,0.0625,1.6590853058046695
12,21882.054019127314,4189.489292832201,0.125,1.7642844293741409
13,21775.58855938565,4076.1097179830217,0.00390625,1.8655908706293498
14,18804.756139323745,5516.239227311979,0.5,60.50323265277604
15,18156.555156174374,4910.615525428356,0.5,1687.2680874909001
16,17972.43330379783,4741.001233210096,0.5,10079.472807118324
17,17499.247262102053,4552.122690557818,0.5,49705.8587618057
18,16827.065631740286,4223.464971593142,0.5,276382.0611919286
19,16484.47118568325,4041.161386073915,0.5,1806425.4072076445
20,16288.321430686048,3968.476275541728,0.5,8331771.176670401
21,16079.227722836065,3890.3901529027303,0.5,47617565.92277303
22,15651.797806899032,3727.936993384479,0.5,179000448.71612504
23,15391.316338439672,3636.2745551168346,1.0,852.4171148387521
24,6686.084667066732,1380.1499648880247,0.25,26946.600775320727
25,6672.650242856982,1378.2899476648836,0.25,783066.507670879
26,6670.941255244621,1367.1886555903377,0.25,55242090.92555159
27,6605.240703015039,1356.94233936475,0.5,544.9775271572727
28,5376.392995857433,1118.1178512849972,0.0009765625,497.6164033263213
29,5372.531316041755,1117.3051745736316,0.125,58844920.29368404
30,5354.892162577502,1107.899402373846,0.5,484.0407045485267
31,4995.791625451362,1198.308524556617,0.03125,478.9241939657936
32,4987.465387667133,1170.4122209617674,0.03125,442.2859711742415
33,4928.611928090565,1138.0927404578915,0.00390625,438.0573136509318
34,4925.744317639805,1133.664242166212,0.25,431.6691055615056
35,4502.492384143661,1012.5651459051722,0.00390625,356.00661236818524
36,3047.950334197389,905.1927416526786,0.0078125,638.5452589843148
37,3043.2449246231117,897.8554516713731,0.015625,629.3699146678649
38,3034.9780153936654,882.8948174238922,0.015625,618.3565513711462
39,3022.992856107629,868.4434703628554,0.015625,604.6497839962655
40,3017.0943292007496,855.0350818147047,0.0625,594.1132018033865
41,2983.1674747356037,800.7167463381185,0.00390625,546.0431499888135
42,2799.9470250061904,1150.9226280883317,0.0078125,872.4866922331728
43,2792.426176882902,1141.0391809065254,0.125,859.8162617893532
44,2759.9018244436793,1020.4403291275046,0.001953125,746.6564211297692
45,1977.3729781221,452.76093077460985,0.00390625,430.22761934836626
46,1776.9253782169715,619.8034915037024,0.00048828125,724.387938378938
47,1776.7607126918433,619.4677199942045,0.00048828125,724.128351421511
48,1776.704521747302,619.20637710653,0.03125,723.8609507918337
49,1773.3583996702596,600.4019172902449,0.03125,693.0577345663407
50,1771.2240489361084,583.0861836306983,0.000244140625,662.9881055864197
51,1771.2235066063754,582.9435687771809,0.03125,662.429113393607
52,1767.9406740742352,564.8242287193953,0.0078125,641.4790226193082
53,1766.6010658716018,560.0904958823223,0.015625,636.2184317808044
54,1760.5931277935485,549.8432652840814,0.015625,635.3724299130998
55,1759.4816689031677,541.4661117656404,0.000244140625,622.1871323374116
56,1759.2390788353123,541.2778943801052,0.001953125,621.9038411922121
57,1530.2815513463295,415.74360737899354,0.001953125,844.2624259210605
58,1451.6340800778044,460.3427518257716,0.0625,965.3793718234326
59,1445.7481131923832,429.7779328500172,0.0009765625,919.4735940264363
60,1445.3004882615332,429.17213644803235,0.001953125,918.430464198527
61,1391.880646502556,463.2691137369225,0.0009765625,937.4666098731238
62,1391.811589504849,462.7898543272116,0.001953125,936.8530667594787
63,1391.7560820788476,461.86785415815297,0.03125,935.6195927146504
64,1389.5179421888427,446.769616187324,0.0078125,906.7842091865255
65,1389.407580855505,443.28945985550445,0.001953125,899.9263592280072
66,1329.0814776836717,416.22320889909207,0.001953125,835.1939578301359
67,1259.7721705930508,326.06512815009216,0.03125,670.8315318452815
68,1259.4053658428525,315.8899301580383,0.001953125,650.0822532358001
69,1194.1075619693088,212.93899964413583,0.00390625,514.9134663469589
70,1194.0632491928768,212.0685536524381,6.103515625e-05,512.495401918001
71,1194.0629249257713,212.05533119275836,0.0009765625,512.439761910377
72,1194.0570423847732,211.84297133869728,0.001953125,511.7636524721785
73,1152.0777035538727,144.44193602886628,0.00390625,389.42345876458285
74,1125.3767408490846,206.53713566257886,0.00390625,570.3876052952116
