k,f,grad_norm,t_k,rk_residual
0,0.0,32.048512665192554,1.0,0.9835081815074084
1,-3.960535149528108,30.838070332428288,1.0,1.006749818786327
2,-7.020682835783417,29.884621755949308,1.0,1.0267857699991334
3,-9.694542044525942,28.993021161779616,1.0,1.0500211676221252
4,-11.775927416332259,28.23206414691325,1.0,1.061393589137901
5,-13.591916267648227,27.598392969234382,1.0,1.078702634887959
6,-14.984487537487427,27.118891301168013,1.0,1.0892586465761702
7,-16.72482453311088,26.511825701410533,1.0,1.0951924850894634
8,-18.298279413549317,25.86912474278079,1.0,1.1121596255841713
9,-20.438719469024246,25.029699311210972,1.0,1.1350631774284092
10,-21.50371305718928,24.7839814431892,1.0,1.1361875753514619
11,-22.938108057034647,24.295965664393513,1.0,1.1385083065000847
12,-24.17569609900071,23.744223156690914,1.0,1.1392767588480175
13,-25.302457945917542,23.359701328728377,1.0,1.1552648296495946
14,-26.471288370083727,23.089098590108406,1.0,1.1617925822879105
15,-27.62612250376752,22.772149412126296,1.0,1.1596469813935193
16,-29.08991717741011,22.101437632059767,1.0,1.181222565446198
17,-30.00117103695699,21.665312721199175,1.0,1.1929923416765904
18,-31.18243625606435,21.21216219521706,1.0,1.2063335524846324
19,-32.40484331772515,20.673600910214017,1.0,1.2250222405641344
20,-33.27804015680806,20.286341788295342,1.0,1.231243535174494
21,-34.4755613481474,19.885690839906527,1.0,1.2482901702549904
22,-35.34332079382672,19.515907554212287,1.0,1.281344585331888
23,-36.08950219841649,19.251605576526963,1.0,1.2988923409093653
24,-36.81518539481522,19.00641279769028,1.0,1.29666617770091
25,-37.53587155362477,18.552892429521403,1.0,1.3299760337977984
26,-38.2603211997562,18.153238142371375,1.0,1.354729158174614
27,-39.19577680749617,17.812469409889534,1.0,1.3820601388813263
28,-39.7529471510074,17.608812233157234,1.0,1.381796052779931
29,-40.43624910679789,17.297363567716097,1.0,1.4069223075329351
30,-41.15305423440645,17.058314886235337,1.0,1.4151840127370061
31,-41.69504907095232,16.921199367069025,1.0,1.4357222506335756
32,-42.28073417553746,16.75323209528093,1.0,1.4229531190931484
33,-42.699601709475516,16.59796284293133,1.0,1.4184946321189154
34,-43.223111623922435,16.25721913748495,1.0,1.4469308286867109
35,-43.90343049686028,16.081844059502696,1.0,1.4507900804837381
36,-44.30487615061383,15.869387102260301,1.0,1.4487428774589963
37,-44.7438044712205,15.680848140179444,1.0,1.4602694289411753
38,-45.30020987747302,15.463675420997351,1.0,1.485017285141072
39,-45.83011049360976,15.25203915053694,1.0,1.4981381679004402
40,-46.333846384501726,15.024731626138497,1.0,1.5297019944615864
41,-46.82940484870209,14.855122953982587,1.0,1.5418856082356978
42,-47.23226074188394,14.648770426071872,1.0,1.5683985820504087
43,-47.774062895231545,14.41888924157337,1.0,1.5925095286450417
44,-48.23022362653208,14.181848666517752,1.0,1.6092160654180636
45,-48.62650161854208,14.0350576390465,1.0,1.6368620649578134
46,-49.010068113639946,13.797293265477196,1.0,1.6548249371046955
47,-49.42190702202317,13.616525858058377,1.0,1.6666911784919403
48,-49.70624039907821,13.419941869705495,1.0,1.6862713471074475
49,-49.95379193296337,13.256321839257344,1.0,1.681260106839694
50,-50.22916117770934,13.141683510169832,1.0,1.6803842396991127
51,-50.551960771998374,12.942760130316657,1.0,1.7031553182711991
52,-50.84900069593803,12.810155673839061,1.0,1.7124788602424479
53,-51.06937137596387,12.620610636665816,1.0,1.7346245352191396
54,-51.36615615594235,12.521150488366073,1.0,1.7293751582074388
55,-51.53810970850965,12.469452641583379,1.0,1.7388729424247682
56,-51.85379159782335,12.264276045763447,1.0,1.7652793002593776
57,-52.156991983726165,12.135535833561411,1.0,1.791135580799968
58,-52.45257393877715,11.963506302626822,1.0,1.7984887678966945
59,-52.754115598062434,11.855450619509956,1.0,1.8127893868135325
60,-53.00316677216962,11.763960136395166,1.0,1.8279216398397797
61,-53.33504066669181,11.71319924172213,1.0,1.857008270977254
62,-53.54293440509914,11.653249899505592,1.0,1.8668993914484726
63,-53.77238620405617,11.5975790661263,1.0,1.8884183813664817
64,-53.9908220123493,11.53900422997967,1.0,1.8836853759473344
65,-54.32055854183783,11.361399809624046,1.0,1.9376568480376866
66,-54.560870633393264,11.227123932365439,1.0,1.9547645052151503
67,-54.84263264138537,11.11899725446285,1.0,2.0013379319562046
68,-55.107100587089555,10.996068808987339,1.0,2.0166523098564966
69,-55.30815337516471,10.860321363199139,1.0,2.0439464883416854
70,-55.63704067964995,10.730930083534039,1.0,2.088916201044998
71,-55.92218708232884,10.598313349973383,1.0,2.1246268305540568
72,-56.11311292677796,10.506503098057804,1.0,2.1307005842448885
73,-56.36999445724875,10.431249651571646,1.0,2.1562054564131565
74,-56.53707376613225,10.329016217323753,1.0,2.181630425000882
75,-56.696915303739324,10.209748801094456,1.0,2.187285229397644
76,-56.93512019270679,10.03251028739829,1.0,2.2608428967239176
77,-57.0914160260259,9.940727512541626,1.0,2.2888044923364275
78,-57.305594384015635,9.787901136762741,1.0,2.3183028143782654
79,-57.53698234883252,9.660139234962223,1.0,2.3769176624930295
80,-57.67175024766339,9.584041822816452,1.0,2.392935059221106
81,-57.84608652418107,9.526418136043638,1.0,2.430377208802332
82,-58.08530607035961,9.407488397471177,1.0,2.4915272903285586
83,-58.30113211934806,9.242720481384312,1.0,2.5625427861156096
84,-58.484450084574405,9.163318941162757,1.0,2.619696089248069
85,-58.70544985203234,9.031433351697624,1.0,2.702761403991482
86,-58.88119776183239,8.95231496401242,1.0,2.770182428130257
87,-59.04609133663213,8.89001885857498,1.0,2.769706339449929
88,-59.21062288549198,8.742827187020918,1.0,2.8245083465134493
89,-59.36661406867329,8.728386844436566,1.0,2.8329145341858024
90,-59.52683504490105,8.681821528099295,1.0,2.9007714490931567
91,-59.64986270339957,8.616944357526577,1.0,2.915572053296589
92,-59.74871430081754,8.570638281147785,1.0,2.9442656535489697
93,-59.89948815365993,8.55192815540618,1.0,2.9693345162791656
94,-59.99691788435619,8.514472527364182,1.0,2.991649898544404
95,-60.14344664183807,8.45945321266245,1.0,3.0121467895233383
96,-60.266380452193125,8.417182370813142,1.0,3.0371352660887503
97,-60.42173736354225,8.348434943663621,1.0,3.1017324065424297
98,-60.53241750152569,8.25923808265722,1.0,3.1503594711347667
99,-60.681248327353686,8.227367366087886,1.0,3.184933286307127
100,-60.79584232817939,8.177615204876265,1.0,3.215945302934834
101,-60.91964045135275,8.077633515826385,1.0,3.278694658922619
102,-61.042612640065244,7.976497493873762,1.0,3.3387566360754852
103,-61.153785485688736,7.895747694126356,1.0,3.3824745007777244
104,-61.275780640201646,7.814401624997997,1.0,3.4543321445715502
105,-61.426210703420566,7.7462732910964025,1.0,3.561674961160156
106,-61.516153180900425,7.680327829371037,1.0,3.5780742913037824
107,-61.61566789274489,7.640481301759785,1.0,3.5703267392478457
108,-61.712375903800876,7.6158939547780315,1.0,3.6098028010676764
109,-61.806085819701494,7.593763114014409,1.0,3.63273825956366
110,-61.91299384512816,7.547589471200093,1.0,3.689244302668873
111,-62.02888772338223,7.437719911381424,1.0,3.7685069093349424
112,-62.16492456255783,7.379489711724757,1.0,3.8673021937073626
113,-62.27109313924307,7.279649623123382,1.0,3.954011671170861
114,-62.377232686559616,7.267344910152038,1.0,4.002627838008462
115,-62.473791731239125,7.150619130545334,1.0,4.128072810236417
116,-62.608395435054916,7.003718152663597,1.0,4.324392447787584
117,-62.73155327834033,6.931521966452935,1.0,4.453028454485297
118,-62.808401082852704,6.946433518406476,1.0,4.443224534263948
119,-62.92488997878805,6.863337846823989,1.0,4.529232051820908
120,-63.04032035710771,6.780619389143867,1.0,4.63153673181123
121,-63.14099497455932,6.711019510212153,1.0,4.750885235843484
122,-63.220943515649765,6.656903527311599,1.0,4.852617236367906
123,-63.269353525105636,6.610054217635014,1.0,4.764755929229858
124,-63.35976263267631,6.575083155904038,1.0,4.861051548486058
125,-63.44642680660028,6.519235133752702,1.0,4.994877301520174
126,-63.544840720655436,6.460192617730521,1.0,5.140883021165169
127,-63.614385181302914,6.413997692952186,1.0,5.204459482333342
128,-63.694191737583566,6.33123841802159,1.0,5.351881955339699
129,-63.76930039991323,6.287019644293909,1.0,5.477925943291114
130,-63.88531706564155,6.2147759206430955,1.0,5.696658992346647
131,-63.95411555763606,6.151521281616037,1.0,5.6730803350275165
132,-64.03141512204095,6.08851407389754,1.0,5.766231144258397
133,-64.1375973136748,5.949133790768495,1.0,6.078793356015778
134,-64.20812866048117,5.956792169530572,1.0,6.212783508046413
135,-64.28146382804482,5.971055017344229,1.0,6.147914012623007
136,-64.35942403126793,5.936383595201155,1.0,6.179885660750687
