k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.0,32.048512665192554,1.0,0.25,0.25
1,-6.195819712264159,26.383476905129807,1.0,0.359375,0.609375
2,-10.499865646268661,21.270058976943698,1.0,0.40625,1.015625
3,-12.999368095621204,17.973031060040586,1.0,0.28125,1.296875
4,-14.913807686502146,14.894025185031403,1.0,0.125,1.421875
5,-16.475642388384472,13.703281141141638,1.0,0.25,1.671875
6,-17.628199457921944,11.942966458977855,1.0,0.359375,2.03125
7,-18.486323420193806,10.5026965753298,1.0,0.234375,2.265625
8,-19.249787396120695,9.345272111218515,1.0,0.078125,2.34375
9,-19.882444926051825,8.558244495487768,1.0,0.28125,2.625
10,-20.346317379784715,7.6620484819231685,1.0,0.203125,2.828125
11,-20.762555607591654,7.1503403268411585,1.0,0.21875,3.046875
12,-21.078761645266564,6.651149816860865,1.0,0.125,3.171875
13,-21.41318618163601,6.223038966424004,1.0,0.265625,3.4375
14,-21.669039299058582,5.821519701284117,1.0,0.375,3.8125
15,-21.907392119108025,5.307739032310497,1.0,0.3125,4.125
16,-22.08654777817137,4.853320108806536,1.0,0.203125,4.328125
17,-22.263269453618655,4.867755305607887,1.0,0.40625,4.734375
18,-22.43609979529407,4.731600382986041,1.0,0.3125,5.046875
19,-22.599860068762503,4.513747209526523,1.0,0.40625,5.453125
20,-22.731398382558943,4.146931422837739,1.0,0.140625,5.59375
21,-22.841238617596844,3.8100058144288185,1.0,0.328125,5.921875
22,-22.952942802330714,3.683988621741924,1.0,0.125,6.046875
23,-23.051913209510065,3.5860975267106667,1.0,0.234375,6.28125
24,-23.142812570577448,3.456059314086351,1.0,0.21875,6.5
25,-23.225970518463456,3.302694422207811,1.0,0.234375,6.734375
26,-23.305419286519072,3.07808005379124,1.0,0.34375,7.078125
27,-23.377309028014444,2.9551201813815777,1.0,0.296875,7.375
28,-23.442180004315134,2.8322111829608483,1.0,0.234375,7.609375
29,-23.493739721772588,2.6578208395082736,1.0,0.171875,7.78125
30,-23.54515451009692,2.5723920736064847,1.0,0.328125,8.109375
31,-23.5915251120013,2.3944337125034547,1.0,0.0625,8.171875
32,-23.633971803981023,2.2783868572390102,1.0,0.25,8.421875
33,-23.67141163332881,2.2224312240615154,1.0,0.328125,8.75
34,-23.707695123099082,2.162305926095408,1.0,0.171875,8.921875
35,-23.740442644536376,2.0793738981651315,1.0,0.25,9.171875
36,-23.76967944967147,2.080901299723253,1.0,0.09375,9.265625
37,-23.801126024034456,1.9639486386486615,1.0,0.234375,9.5
38,-23.824363335311368,1.8374227283799327,1.0,0.234375,9.734375
39,-23.85013910710756,1.795988875476717,1.0,0.328125,10.0625
40,-23.871701897101,1.7054605958409157,1.0,0.28125,10.34375
41,-23.892502691469915,1.6530924148366264,1.0,0.3125,10.65625
42,-23.911098913000824,1.556130622260854,1.0,0.421875,11.078125
43,-23.92908604241229,1.5589570872106837,1.0,0.34375,11.421875
44,-23.946711953698436,1.4993044889959153,1.0,0.15625,11.578125
45,-23.96213260502617,1.4102614476254618,1.0,0.34375,11.921875
46,-23.977529376820698,1.3603954776437917,1.0,0.171875,12.09375
47,-23.992021692551603,1.3369219175727878,1.0,0.234375,12.328125
48,-24.00505550992885,1.286476670858558,1.0,0.296875,12.625
49,-24.016277725184644,1.2224776235231911,1.0,0.171875,12.796875
50,-24.026693956188836,1.1783166680179924,1.0,0.3125,13.109375
51,-24.03750204953747,1.1543462109477907,1.0,0.171875,13.28125
52,-24.047190367179414,1.118627375213486,1.0,0.234375,13.515625
53,-24.055830962572795,1.0353650052764032,1.0,0.296875,13.8125
54,-24.064099152881393,1.026316683964119,1.0,0.328125,14.140625
55,-24.071234581384463,0.9779701437735727,1.0,0.125,14.265625
56,-24.07839420010126,0.9925581174242455,1.0,0.234375,14.5
57,-24.085705465323304,0.9580855534908876,1.0,0.234375,14.734375
58,-24.09197072299212,0.8547101973100815,1.0,0.21875,14.953125
59,-24.09788438529708,0.8575587474158655,1.0,0.28125,15.234375
60,-24.103484012026204,0.8296839394607399,1.0,0.09375,15.328125
61,-24.108387784337282,0.7861333277072238,1.0,0.375,15.703125
62,-24.112849087225225,0.7452833552706116,1.0,0.140625,15.84375
63,-24.117386753007104,0.7296706480428101,1.0,0.09375,15.9375
64,-24.12151582688969,0.7168346455374702,1.0,0.34375,16.28125
65,-24.12504427005635,0.6840387270622355,1.0,0.359375,16.640625
66,-24.12846238137512,0.6546506335144148,1.0,0.328125,16.96875
67,-24.131425897112425,0.6428824657249608,1.0,0.234375,17.203125
68,-24.133979239564006,0.6177653596143342,1.0,0.203125,17.40625
69,-24.13710032840383,0.6084649383562385,1.0,0.296875,17.703125
70,-24.139718818892135,0.5744517583227089,1.0,0.234375,17.9375
71,-24.142051216203683,0.5645955719712457,1.0,0.25,18.1875
72,-24.144345405062122,0.5517077925362253,1.0,0.15625,18.34375
73,-24.146471671044548,0.5174671351590314,1.0,0.28125,18.625
74,-24.148467651618443,0.49381067202954315,1.0,0.078125,18.703125
75,-24.150427875273763,0.5015361777659796,1.0,0.25,18.953125
76,-24.15198590627405,0.4732921566421551,1.0,0.265625,19.21875
77,-24.153692510865014,0.46632519047983845,1.0,0.203125,19.421875
78,-24.155298317702826,0.4595344053784894,1.0,0.15625,19.578125
79,-24.156817506306226,0.4257586600653176,1.0,0.296875,19.875
80,-24.15812514046446,0.4066976353988093,1.0,0.265625,20.140625
81,-24.159287647184307,0.3905321235478454,1.0,0.25,20.390625
82,-24.160336959000333,0.391271784859864,1.0,0.234375,20.625
83,-24.161498072985225,0.3840414246380309,1.0,0.09375,20.71875
84,-24.162503436555976,0.3688736777736224,1.0,0.265625,20.984375
85,-24.16348686688931,0.35729326180269627,1.0,0.203125,21.1875
86,-24.164317113849947,0.34230505387603477,1.0,0.125,21.3125
87,-24.165169669848378,0.32200683488379883,1.0,0.34375,21.65625
88,-24.1660145209999,0.3305121911867163,1.0,0.21875,21.875
89,-24.166788492988825,0.3215384486159771,1.0,0.234375,22.109375
90,-24.167536256452262,0.31102929823490477,1.0,0.109375,22.21875
91,-24.16828909167257,0.3012720310804894,1.0,0.234375,22.453125
92,-24.16889470900002,0.2953861277958009,1.0,0.328125,22.78125
93,-24.16949505446346,0.27640095273169446,1.0,0.25,23.03125
94,-24.1700179812037,0.2757229741768781,1.0,0.140625,23.171875
95,-24.17050339545751,0.27245359359599675,1.0,0.21875,23.390625
96,-24.170997958643827,0.2585788061971384,1.0,0.3125,23.703125
97,-24.1715067388793,0.24793068243937713,1.0,0.21875,23.921875
98,-24.171940689766053,0.23515720919090632,1.0,0.1875,24.109375
99,-24.172316498520377,0.22590184724970855,1.0,0.34375,24.453125
100,-24.172688843752567,0.22559009287019058,1.0,0.09375,24.546875
101,-24.17305949482887,0.2168674641944592,1.0,0.203125,24.75
102,-24.173414967967467,0.21423222293572436,1.0,0.4375,25.1875
103,-24.173759953013874,0.21727026600589086,1.0,0.203125,25.390625
104,-24.174110885950736,0.2094290650675561,1.0,0.296875,25.6875
105,-24.17445023441213,0.19716513752593734,1.0,0.359375,26.046875
106,-24.174711215783155,0.19029751385745178,1.0,0.3125,26.359375
107,-24.174993089443397,0.1817814947580222,1.0,0.1875,26.546875
108,-24.17520841709501,0.17619831935809127,1.0,0.28125,26.828125
109,-24.175461282750383,0.17224435398116417,1.0,0.28125,27.109375
110,-24.175688475543232,0.17161637854705622,1.0,0.078125,27.1875
111,-24.175890838636676,0.1647551359400481,1.0,0.328125,27.515625
112,-24.176087883477138,0.16358352424037648,1.0,0.328125,27.84375
113,-24.176297095567815,0.1654439308811085,1.0,0.328125,28.171875
114,-24.176486295932843,0.1558243985465143,1.0,0.25,28.421875
