k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,2057.0,2069.4271671165434,3.492849839314596,1.0,6,0,0,1e-08,0.0,0,0.0
1,1067.6887089809322,1188.7592026741102,3.0229041882867396,1.0,6,0,0,1e-08,0.0,0,0.0
2,282.6883051275655,457.5514320508666,2.3515529976872456,0.00390625,6,0,0,1e-08,0.0,0,0.0
3,226.30835644940353,369.57087217427994,1.483414220561247,0.25,6,0,0,1e-08,0.0,0,0.0
4,173.49069370682935,256.3591195446973,1.422587971715471,0.5,6,0,0,1e-08,0.0,0,0.0
5,169.17962933981022,346.5946352806041,1.4855256980102811,1.0,6,0,0,1e-08,0.0,0,0.0
6,75.60970247065016,192.89526334734526,1.083640612002279,0.125,6,0,0,1e-08,0.0,0,0.0
7,75.60389187855749,172.14875980277847,1.154302752621676,0.125,6,0,0,1e-08,0.0,0,0.0
8,73.76125041990552,155.61515079183332,1.1449891505332441,0.25,6,0,0,1e-08,0.0,0,0.0
9,72.50355760594354,153.41593565405506,1.057760393916869,0.5,6,0,0,1e-08,0.0,0,0.0
10,72.26193077969936,138.3566325896072,1.1116913578878036,0.25,6,0,0,1e-08,0.0,0,0.0
11,65.20566356209694,135.61895739930478,1.0413533744994903,0.0078125,6,0,0,1e-08,0.0,0,0.0
12,60.29956233186758,189.83317431499293,0.833678136776611,0.25,6,0,0,1e-08,0.0,0,0.0
13,48.40575423813142,162.83094392821712,0.7150015469401444,0.00390625,6,0,0,1e-08,0.0,0,0.0
14,13.574668419178838,44.29400461294846,0.33773601071632237,0.25,6,0,0,1e-08,0.0,0,0.0
15,10.137143241262926,15.70273246214575,0.3757046887323166,0.0078125,6,0,0,1e-08,0.0,0,0.0
16,9.624569577702502,8.242450467462639,0.36698476009111397,0.0078125,6,0,0,1e-08,0.0,0,0.0
17,9.532203439694806,6.085650712006949,0.35318534553560416,0.0078125,6,0,0,1e-08,0.0,0,0.0
18,9.522001679003811,6.50250464030095,0.35182283099276174,0.00390625,6,0,0,1e-08,0.0,0,0.0
19,9.44847445532944,1.5942239255542912,0.3426324435796005,0.0078125,6,0,0,1e-08,0.0,0,0.0
20,9.441917307270245,1.8682277751799046,0.3366747964630149,0.0078125,6,0,0,1e-08,0.0,0,0.0
21,9.43627713535461,2.286132829898307,0.32664701138780866,0.0078125,6,0,0,1e-08,0.0,0,0.0
22,9.436210602590169,2.2658355494890636,0.32634495676853176,0.00390625,6,0,0,1e-08,0.0,0,0.0
23,9.436199326080287,2.2557164349268652,0.3264757659318323,0.0078125,6,0,0,1e-08,0.0,0,0.0
24,9.430877485374188,2.6907659066493426,0.32125872173103404,0.125,6,0,0,1e-08,0.0,0,0.0
25,9.429078277246937,2.4277601274986846,0.3202942076505925,0.015625,6,0,0,1e-08,0.0,0,0.0
26,9.426793740999758,2.199296091937479,0.31999313895260123,0.015625,6,0,0,1e-08,0.0,0,0.0
27,9.426620100477606,2.1873247901195287,0.3197408340855633,0.0625,6,0,0,1e-08,0.0,0,0.0
28,9.425282188769646,1.8128463853368657,0.3205768220248551,0.015625,6,0,0,1e-08,0.0,0,0.0
29,9.424753610767821,1.8117747607423402,0.32016344304450217,0.0078125,6,0,0,1e-08,0.0,0,0.0
30,9.413263193346223,1.6364491997093504,0.3100172124304575,0.0078125,6,0,0,1e-08,0.0,0,0.0
31,9.403905308749275,1.750139909032352,0.30324552701111074,0.125,6,0,0,1e-08,0.0,0,0.0
32,9.403557446417727,1.6017905904676173,0.30311785776336925,0.0009765625,6,0,0,1e-08,0.0,0,0.0
33,9.403547799105592,1.6033184790500223,0.3030832883122129,0.015625,6,0,0,1e-08,0.0,0,0.0
34,9.401319654142837,3.5423980060260885,0.28363997747761804,0.015625,6,0,0,1e-08,0.0,0,0.0
35,9.401203530508369,3.4671806078795684,0.28390537110274,0.0078125,6,0,0,1e-08,0.0,0,0.0
36,9.390059029432976,3.5579680242639475,0.27824383330825064,0.0009765625,6,0,0,1e-08,0.0,0,0.0
37,9.389832491282384,3.5075678014298566,0.2783374013934883,0.0625,6,0,0,1e-08,0.0,0,0.0
38,9.389350284507037,3.411884413838646,0.2779681257207813,0.00390625,6,0,0,1e-08,0.0,0,0.0
39,9.384359925614266,2.8554571966466997,0.27930125320938964,0.0625,6,0,0,1e-08,0.0,0,0.0
40,9.38409357736387,3.0627662890957525,0.27696610033848185,0.015625,6,0,0,1e-08,0.0,0,0.0
41,9.383951834643433,3.1338480145054777,0.27620821360940556,0.0078125,6,0,0,1e-08,0.0,0,0.0
42,9.370653877538347,3.126108482779681,0.26392974834881977,0.0078125,6,0,0,1e-08,0.0,0,0.0
43,9.358858404733528,3.194064893464915,0.25714194036979454,0.0078125,6,0,0,1e-08,0.0,0,0.0
44,9.345337370922469,3.223277981593008,0.2438465288989493,0.0078125,6,0,0,1e-08,0.0,0,0.0
45,9.331025929924744,3.173120901148523,0.236616820094583,0.015625,6,0,0,1e-08,0.0,0,0.0
46,9.330867320699546,3.1864195479105333,0.23636176565887246,0.03125,6,0,0,1e-08,0.0,0,0.0
47,9.329945310638115,3.1039576760808574,0.23631615326004746,0.015625,6,0,0,1e-08,0.0,0,0.0
48,9.329493310253781,3.0437419632670406,0.23626070010583541,0.0078125,6,0,0,1e-08,0.0,0,0.0
49,9.329438541763833,3.046212662176137,0.23612071631397458,0.0078125,6,0,0,1e-08,0.0,0,0.0
50,9.328167122532731,2.8880281844552913,0.23633709160211044,0.00390625,6,0,0,1e-08,0.0,0,0.0
51,9.328164147965639,2.8494942437657014,0.23655402928677935,0.03125,6,0,0,1e-08,0.0,0,0.0
52,9.32432851997041,2.5525312148583303,0.23604121395853303,0.03125,6,0,0,1e-08,0.0,0,0.0
53,9.324080880243313,2.5742550380676725,0.23565795126462927,0.0009765625,6,0,0,1e-08,0.0,0,0.0
54,9.32407837798061,2.5760954833977907,0.23564268253125917,0.00390625,6,0,0,1e-08,0.0,0,0.0
55,9.323488500611674,2.494865203751216,0.23586279730239404,0.0009765625,6,0,0,1e-08,0.0,0,0.0
56,9.323485981470691,2.4921850142525668,0.2358758978857679,0.03125,6,0,0,1e-08,0.0,0,0.0
57,9.322617511512547,2.35617629767435,0.2360776281266135,0.00390625,6,0,0,1e-08,0.0,0,0.0
58,9.322374735843802,2.227182193034643,0.23671392847433542,0.0078125,6,0,0,1e-08,0.0,0,0.0
59,9.304027051127715,1.8999615250838517,0.22381523369723058,0.015625,6,0,0,1e-08,0.0,0,0.0
60,9.294093030991023,3.642024417695001,0.20628645953656113,0.0078125,6,0,0,1e-08,0.0,0,0.0
61,9.267429176432008,3.0494896251836705,0.19077549197272245,0.0078125,6,0,0,1e-08,0.0,0,0.0
62,9.244364341114057,2.6141753157825627,0.18170699460496478,0.03125,6,0,0,1e-08,0.0,0,0.0
63,9.243867949661919,2.578826753433881,0.1815106007457542,0.00390625,6,0,0,1e-08,0.0,0,0.0
64,9.243857771623084,2.563899832348789,0.18152594652325574,0.0078125,6,0,0,1e-08,0.0,0,0.0
65,9.243782743440894,2.5845034299057,0.18134140430964113,0.0078125,6,0,0,1e-08,0.0,0,0.0
66,9.220146885256444,2.181725951639901,0.16745997574385363,0.015625,6,0,0,1e-08,0.0,0,0.0
67,9.207212888952622,3.9983831915636108,0.1467110555965372,0.0078125,6,0,0,1e-08,0.0,0,0.0
68,9.168361721731115,3.0102124838953714,0.131059438066923,0.0078125,6,0,0,1e-08,0.0,0,0.0
69,9.138577773040836,2.409340147234914,0.11913595143563538,0.0625,6,0,0,1e-08,0.0,0,0.0
70,9.137209006962573,2.348021122263521,0.11855288259977317,0.001953125,6,0,0,1e-08,0.0,0,0.0
71,9.136599656783467,2.3329937638742098,0.11847293338724121,0.015625,6,0,0,1e-08,0.0,0,0.0
72,9.110128217128333,3.8074029583934568,0.09178097859149947,0.0078125,6,0,0,1e-08,0.0,0,0.0
73,9.066045713194653,2.655519652113719,0.07911992312063067,0.0078125,6,0,0,1e-08,0.0,0,0.0
74,9.065934351527094,2.744444807282562,0.07887351728941948,0.015625,6,0,0,1e-08,0.0,0,0.0
75,9.046939373294965,4.72268185908123,0.053308979350988904,0.0078125,6,0,0,1e-08,0.0,0,0.0
76,8.98695355555345,3.1134179674488127,0.04288406640277575,0.015625,6,0,0,1e-08,0.0,0,0.0
77,8.976306808291044,5.522383392665061,0.03539967135925187,0.0078125,6,0,0,1e-08,0.0,0,0.0
78,8.900241668830153,3.5478169083316935,0.03991086779076981,0.00048828125,6,0,0,1e-08,0.0,0,0.0
