k,f,grad_norm,t_k
0,0.0,32.048512665192554,1.0
1,-5.304810390149205,31.445297818727187,1.0
2,-9.344612258424128,30.761550107212987,1.0
3,-13.653650237011819,30.302328677960755,1.0
4,-18.354394236407973,29.599957394655195,1.0
5,-21.974358373743463,29.15480495709867,1.0
6,-26.625015262628047,28.415763689980583,1.0
7,-29.26100816793722,28.008931937285535,1.0
8,-33.075983876016835,27.402333094425085,1.0
9,-36.08868380813657,26.84413258584171,1.0
10,-39.14409654728431,26.37982073691492,1.0
11,-41.55505446090235,26.16323819755912,1.0
12,-44.1928528117119,25.75752510685847,1.0
13,-46.31165413829425,25.556512158791428,1.0
14,-49.23494314902532,25.03055621783777,1.0
15,-52.97707914741022,24.29868606907509,1.0
16,-55.572286818204915,23.72130916037549,1.0
17,-58.49460608552408,23.22861892628367,1.0
18,-62.358754691966695,22.429580673266308,1.0
19,-64.41073337568069,22.086647957858148,1.0
20,-66.2136976414496,21.791216393652437,1.0
21,-68.376512377293,21.31509161816337,1.0
22,-70.55386814685625,20.882555608043706,1.0
23,-73.1716062563822,20.31309066555913,1.0
24,-74.6960817609751,19.924351548410957,1.0
25,-76.56626521135014,19.586814208016516,1.0
26,-77.82927918841774,19.352180981732584,1.0
27,-79.69793738857899,18.98585134083242,1.0
28,-81.61004217333354,18.613399198815188,1.0
29,-82.86966521558809,18.37299148537043,1.0
30,-84.53036425338367,18.166725993024922,1.0
31,-86.19030093196864,17.74063023813023,1.0
32,-87.6985337093081,17.363273392711967,1.0
33,-89.44917265787785,16.995998907333277,1.0
34,-90.34445860208842,16.778552231955327,1.0
35,-91.60836021325586,16.492034884617443,1.0
36,-92.52871822107713,16.231740099252757,1.0
37,-93.46777443450674,16.025954217523967,1.0
38,-95.05921064456874,15.582588232703994,1.0
39,-96.51160326762862,15.08619276927463,1.0
40,-97.41989120006745,14.878572530765227,1.0
41,-98.38823779884177,14.575842710379039,1.0
42,-99.76665995989164,14.363141291202126,1.0
43,-101.06585680060995,14.006464976095534,1.0
44,-101.99605558648389,13.872289748211855,1.0
45,-102.82671040205281,13.75027033966143,1.0
46,-103.76224067530552,13.557646284797439,1.0
47,-104.59568393247906,13.3676634327579,1.0
48,-105.50036877080467,13.145676717655753,1.0
49,-106.67398174145845,12.887209871161302,1.0
50,-107.28961285993834,12.715798430038252,1.0
51,-107.88018079219933,12.527054021054967,1.0
52,-108.853719061727,12.159734194650458,1.0
53,-109.50043956391768,11.942329146735343,1.0
54,-110.13814584089693,11.780588228265657,1.0
55,-110.69774717044521,11.595535093515563,1.0
56,-111.17313062180088,11.508808280298346,1.0
57,-111.9525068617081,11.30014206761819,1.0
58,-112.55006377898563,11.062894495938737,1.0
59,-113.23299333275034,10.935790930191757,1.0
60,-113.67914803364376,10.785476134451134,1.0
61,-114.17540011991053,10.62959659952097,1.0
62,-114.85044605353686,10.491242350157162,1.0
63,-115.44960029856367,10.300389901137635,1.0
64,-116.07660184558723,10.066622146862006,1.0
65,-116.40303360923318,9.97332633687675,1.0
66,-116.7748379975166,9.851081482717044,1.0
67,-117.18474085119894,9.638124626893035,1.0
68,-117.47667223937972,9.48678671653746,1.0
69,-117.94847120801666,9.335227192987478,1.0
70,-118.32917757977486,9.256154514790634,1.0
71,-118.8012852125218,9.04524508826123,1.0
72,-119.1936865023968,8.88508300799715,1.0
73,-119.4471724559694,8.817828934240742,1.0
74,-119.78978054394402,8.701369358953595,1.0
75,-120.2284315074588,8.527199038858306,1.0
76,-120.6467776812271,8.391254930143464,1.0
77,-120.95223308552099,8.300244488514632,1.0
78,-121.30609459295705,8.126740307845312,1.0
79,-121.57755586050106,8.028617489697638,1.0
80,-121.92334317942397,7.8646503514115444,1.0
81,-122.28939619225314,7.753781917181884,1.0
82,-122.62071358862113,7.590393381585352,1.0
83,-122.84217935519423,7.474849779482586,1.0
84,-123.14747764050921,7.2683624672482,1.0
85,-123.38225494789087,7.177568814621202,1.0
86,-123.59255127350765,7.099966236161655,1.0
87,-123.83288274982391,7.023969781391577,1.0
88,-124.18210850408465,6.8269363275699595,1.0
89,-124.41282305965537,6.713805751768302,1.0
90,-124.60510361801279,6.641447718238227,1.0
91,-124.83421047764435,6.484170525820358,1.0
92,-124.9762269933731,6.4104427099214725,1.0
93,-125.13333660857077,6.277815988755918,1.0
94,-125.3494402304507,6.187237731390534,1.0
95,-125.53373258445627,6.0768353753881685,1.0
96,-125.66939598982297,6.007771028275684,1.0
97,-125.80956384628972,5.911728223425883,1.0
98,-125.94577286263115,5.875844879336201,1.0
99,-126.09168756357681,5.804249117190942,1.0
100,-126.22836283913672,5.719016902110634,1.0
101,-126.41428611522798,5.614693569247652,1.0
102,-126.5601554083031,5.549506605714401,1.0
103,-126.72355883533027,5.395054496912035,1.0
104,-126.85283601720072,5.3340220961769305,1.0
105,-127.06594216101055,5.2145531101135365,1.0
106,-127.14091093526108,5.152571810229547,1.0
107,-127.32265975948594,5.078898083526137,1.0
108,-127.45083533702471,5.032481910961118,1.0
109,-127.56855384909746,4.975438516832297,1.0
110,-127.66745660671869,4.900683558622627,1.0
111,-127.74518926194236,4.873413884348262,1.0
112,-127.83979182562236,4.818031122739329,1.0
113,-127.9233654400022,4.780722542805846,1.0
114,-128.01721808406208,4.7176757122756525,1.0
115,-128.09256526645362,4.678795990533298,1.0
116,-128.17641665517505,4.646444713258436,1.0
117,-128.31037497130097,4.567920715681705,1.0
118,-128.4216417018352,4.556806528457035,1.0
119,-128.51162131613023,4.4630049987175635,1.0
120,-128.58310444724748,4.414048205155251,1.0
